<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAB.TO,20231010,0.025,0.025,0.025,0.025,506768
AAUC.TO,20231010,4.2,4.39,4.11,4.21,7962
AAV.TO,20231010,9.7,9.71,9.56,9.61,346609
ABX.TO,20231010,20.3,20.33,20.15,20.29,2063400
AC.TO,20231010,18.78,19,18.74,18.84,2067348
ACB.TO,20231010,0.76,0.8,0.74,0.76,1973402
ACD.TO,20231010,5.51,5.51,5.5,5.5,6000
ACO.X.TO,20231010,34.8,35.02,34.6,34.9,174456
ACO.Y.TO,20231010,34.92,34.92,34.92,34.92,1010
ACQ.TO,20231010,24.43,25.54,24.43,24.98,43249
AD.DB.TO,20231010,97.29,97.98,97,97.98,314000
AD.UN.TO,20231010,13.17,13.36,13.17,13.28,54135
ADCO.TO,20231010,0.215,0.22,0.21,0.215,25000
ADEN.TO,20231010,29.06,29.34,27.17,28.37,47704
ADN.TO,20231010,16.86,17,16.86,16.96,1875
ADW.A.TO,20231010,4.09,4.11,3.99,4.11,43137
AEG.TO,20231010,0.285,0.285,0.275,0.275,6294
AEM.TO,20231010,63,63.6,62.32,63.48,703300
AEZS.TO,20231010,2.8,2.83,2.7,2.7,6390
AFN.TO,20231010,53.5,54.32,52.92,53.32,17938
AFN.DB.F.TO,20231010,98.5,98.5,97.85,97.85,58000
AFN.DB.G.TO,20231010,97.25,97.25,97.25,97.25,41999
AFN.DB.H.TO,20231010,93.55,93.55,93.55,93.55,10000
AFN.DB.I.TO,20231010,128.02,128.02,128.02,128.02,10000
AFN.DB.J.TO,20231010,99,99,98.76,98.76,27000
AGF.B.TO,20231010,6.77,6.99,6.77,6.96,61669
AGI.TO,20231010,15.99,16.14,15.88,15.98,328412
AI.TO,20231010,10.41,10.73,10.41,10.72,26957
AI.DB.D.TO,20231010,95.88,95.88,95.88,95.88,2000
AI.DB.E.TO,20231010,95.5,95.5,95.5,95.5,10000
AIDX.TO,20231010,0.81,0.82,0.76,0.8,109853
AIF.TO,20231010,49.13,49.38,48.55,48.98,27557
AII.TO,20231010,0.47,0.54,0.47,0.54,117738
AIM.TO,20231010,3.5,3.52,3.31,3.43,159797
AIM.PR.A.TO,20231010,16,16,16,16,200
AIM.PR.C.TO,20231010,19.25,19.25,19.25,19.25,500
AKT.A.TO,20231010,1.61,1.75,1.61,1.73,43204
ALA.TO,20231010,26.48,26.78,26.43,26.76,903216
ALA.PR.B.TO,20231010,17.35,17.35,17.35,17.35,300
ALA.PR.G.TO,20231010,17.2,17.25,17.2,17.25,4000
ALA.PR.H.TO,20231010,18.6,18.82,18.6,18.82,300
ALC.TO,20231010,14.88,14.9,14.68,14.75,4588
ALC.DB.A.TO,20231010,101.87,102.08,101.87,102.08,46999
ALS.TO,20231010,21.75,21.75,20.95,20.99,41275
ALYA.TO,20231010,2.19,2.26,2.19,2.22,16596
AMC.TO,20231010,3.09,3.09,2.92,2.97,124860
AMM.TO,20231010,0.155,0.19,0.155,0.19,11502
AND.TO,20231010,40.63,40.63,39.5,39.5,8369
AOI.TO,20231010,2.68,2.7,2.65,2.68,246615
AOT.TO,20231010,0.355,0.36,0.34,0.345,277946
AP.UN.TO,20231010,17.65,17.65,17.35,17.47,171086
APLI.TO,20231010,0.04,0.04,0.04,0.04,485256
APR.UN.TO,20231010,10.68,10.68,10.51,10.53,10302
APS.TO,20231010,3.69,3.69,3.5,3.54,3120
AQN.TO,20231010,7.97,8.05,7.86,7.92,2407245
AQN.PR.A.TO,20231010,18.53,18.53,18.39,18.53,6950
AQN.PR.D.TO,20231010,18.54,18.75,18.13,18.75,7655
AR.TO,20231010,0.54,0.55,0.53,0.54,1745075
ARA.TO,20231010,0.405,0.42,0.4,0.42,36769
ARB.TO,20231010,25.66,25.66,25.66,25.66,1000
ARE.TO,20231010,11.15,11.29,11.06,11.17,127509
ARG.TO,20231010,1.26,1.31,1.25,1.27,164561
ARIS.TO,20231010,3.2,3.31,3.2,3.24,119352
ARIS.WT.A.TO,20231010,0.165,0.18,0.165,0.18,24250
ARKG.TO,20231010,11.83,11.83,11.76,11.76,400
ARKK.TO,20231010,15.65,16.03,15.65,15.97,2813
ARKW.TO,20231010,17.99,18.2,17.99,18.19,565
ARR.TO,20231010,8.16,8.35,8.16,8.16,8169
