<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAB.TO,20250320,0.0300,0.0300,0.0300,0.0300,50 000
AAUC.TO,20250320,4.960,5.010,4.750,4.830,490 695
AAV.TO,20250320,10.20,10.49,10.16,10.38,524 812
ABX.TO,20250320,27.71,27.87,27.50,27.59,2 601 713
AC.TO,20250320,15.13,15.34,15.06,15.20,2 732 898
ACB.TO,20250320,6.230,7.200,6.230,6.530,1 064 616
ACD.TO,20250320,3.740,3.740,3.740,3.740,700
ACQ.TO,20250320,17.49,18.56,16.96,18.09,59 422
ACX.TO,20250320,5.400,5.440,5.320,5.400,30 794
ADCO.TO,20250320,0.3000,0.3000,0.3000,0.3000,1 500
ADEN.TO,20250320,29.00,29.21,28.27,28.30,99 718
ADN.TO,20250320,17.56,17.64,17.55,17.62,1 735
AEG.TO,20250320,0.3250,0.3250,0.3250,0.3250,500
AEM.TO,20250320,150.62,152.15,149.71,150.88,750 534
AFN.TO,20250320,35.50,35.85,34.20,34.81,233 126
AG.TO,20250320,0,,,36.00€,
AGI.TO,20250320,37.25,37.78,36.96,37.35,977 680
AI.TO,20250320,10.95,10.97,10.85,10.91,72 772
AIDX.TO,20250320,1.700,1.810,1.700,1.790,983 600
AIF.TO,20250320,51.80,51.89,51.39,51.71,71 361
AII.TO,20250320,2.340,2.350,2.100,2.120,637 469
AIM.TO,20250320,2.350,2.390,2.350,2.390,58 810
AKTAF,20250320,1.315,1.350,1.305,1.350,31 750
ALA.TO,20250320,37.82,38.40,37.77,38.37,900 693
ALC.TO,20250320,15.08,15.36,15.08,15.36,9 630
ALS.TO,20250320,25.26,25.46,24.90,25.12,73 288
ALYA.TO,20250320,1.980,2.000,1.930,1.980,11 050
AMC.TO,20250320,1.600,1.630,1.530,1.530,122 171
AMM.TO,20250320,0.0950,0.1200,0.0900,0.1050,61 761
AND.TO,20250320,39.11,39.23,38.02,38.64,17 107
ANRG.TO,20250320,1.010,1.020,0.9800,1.000,3 611
AOI.TO,20250320,2.090,2.150,2.090,2.140,746 924
AOT.TO,20250320,0.1400,0.1400,0.1350,0.1350,566 608
APLI.TO,20250320,0.0350,0.0350,0.0350,0.0350,3 000
APS.TO,20250320,5.630,5.660,5.360,5.660,407
AQN.TO,20250320,7.350,7.390,7.285,7.340,2 042 817
ARA.TO,20250320,0.5100,0.5600,0.5100,0.5500,29 295
ARE.TO,20250320,18.09,18.47,17.93,18.02,453 395
ARG.TO,20250320,1.940,1.970,1.910,1.960,227 021
ARIS.TO,20250320,6.420,6.590,6.420,6.560,436 181
ARR.TO,20250320,0.8800,0.9000,0.8500,0.9000,138 250
ARX.TO,20250320,27.65,28.05,27.54,27.83,1 170 576
ASCU.TO,20250320,2.240,2.240,2.190,2.210,17 401
ASM.TO,20250320,2.600,2.720,2.530,2.710,479 486
ASND.TO,20250320,0.0550,0.0550,0.0550,0.0550,48 750
ASTL.TO,20250320,9.260,9.410,9.010,9.030,172 049
ATCU.TO,20250320,0.4500,0.4750,0.4500,0.4700,54 000
ATD.TO,20250320,71.64,71.64,70.28,70.65,1 655 478
