<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAUC.TO,20250515,5.240,5.460,5.230,5.460,499 373
AAV.TO,20250515,10.71,10.71,10.35,10.47,727 302
AAB.TO,20250515,0,0,0,0,0
ABX.TO,20250515,24.90,25.09,24.71,25.05,5 288 438
ACAA.TO,20250515,0,0,0,0,0
ACQ.TO,20250515,19.36,19.50,18.35,19.32,72 410
ACB.TO,20250515,6.990,7.030,6.780,6.910,300 043
ADCO.TO,20250515,0.2750,0.2750,0.2550,0.2650,17 145
ACX.TO,20250515,4.990,4.990,4.870,4.990,27 774
ACD.TO,20250515,3.180,3.190,3.180,3.190,1 900
AC.TO,20250515,18.57,19.06,18.50,18.80,3 648 757
ADEN.TO,20250515,25.96,26.14,25.66,25.88,32 282
ADN.TO,20250515,17.64,17.80,17.46,17.46,8 977
AEM.TO,20250515,147.88,148.92,146.83,148.70,920 523
AEG.TO,20250515,0,0,0,0,0
AFN.TO,20250515,39.00,39.13,38.25,38.91,64 565
AIDX.TO,20250515,1.510,1.550,1.460,1.520,195 246
AGG.TO,20250515,19.52,19.54,19.52,19.54,23 600
AGI.TO,20250515,33.73,34.29,33.29,34.28,1 404 724
AI.TO,20250515,10.99,11.07,10.99,11.04,89 995
AIF.TO,20250515,55.18,55.82,54.90,55.22,119 012
AG.TO,20250515,3.500€,3.500€,3.500€,3.500€,0
AII.TO,20250515,2.420,2.490,2.420,2.480,479 250
AIM.TO,20250515,2.750,2.790,2.710,2.750,66 735
AKTAF,20250515,1.260,1.350,1.260,1.290,109 049
AIGO.TO,20250515,24.90,24.90,24.58,24.62,2 800
ALYA.TO,20250515,1.860,1.860,1.830,1.830,2 401
ALA.TO,20250515,37.47,37.57,37.22,37.29,818 255
AMAX.TO,20250515,22.67,23.00,22.58,23.00,42 651
ALS.TO,20250515,25.92,26.98,25.92,26.82,62 086
AMHE.TO,20250515,12.96,12.96,12.70,12.78,5 120
AMC.TO,20250515,1.140,1.160,1.120,1.150,92 678
ALC.TO,20250515,16.09,16.45,16.03,16.41,7 015
AMM.TO,20250515,0.1800,0.2100,0.1800,0.2100,63 900
ANRG.TO,20250515,1.130,1.180,1.100,1.170,59 144
AMZH.TO,20250515,12.99,12.99,12.69,12.69,3 009
AOI.TO,20250515,1.910,1.910,1.860,1.860,312 062
AND.TO,20250515,53.53,53.59,53.45,53.48,68 316
