<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAB.TO,20230217,0.05,0.05,0.05,0.05,26000
AAV.TO,20230217,8.22,8.22,7.95,7.95,814576
ABX.TO,20230217,22.45,22.62,22.21,22.57,5254727
AC.TO,20230217,22.5,22.5,20.25,21.2,9829478
ACB.TO,20230217,1.25,1.27,1.21,1.27,1500919
ACD.TO,20230217,7.7,7.7,7.65,7.65,1001
ACO.X.TO,20230217,42.98,43.36,42.85,43.31,334608
ACO.Y.TO,20230217,42.98,43.22,42.98,43.19,900
ACQ.TO,20230217,28.34,29.48,28.32,29.32,27576
AD.DB.TO,20230217,98,98.5,98,98.5,17000
AD.DB.A.TO,20230217,98,98,97.5,98,14000
AD.UN.TO,20230217,18.2,18.46,18.19,18.46,65252
ADEN.TO,20230217,31.4,32.25,31.15,31.84,37023
ADN.TO,20230217,16.4,16.49,16.25,16.39,4081
ADW.A.TO,20230217,5.15,5.21,5.13,5.13,8201
AEM.TO,20230217,63.19,63.31,60.21,62.31,2645025
AEZS.TO,20230217,4.83,4.88,4.81,4.87,1625
AFN.TO,20230217,54.32,54.8,54.08,54.29,66402
AFN.DB.F.TO,20230217,99,99,98.99,98.99,49000
AFN.DB.G.TO,20230217,98.5,98.5,98.5,98.5,12000
AFN.DB.H.TO,20230217,97.75,98,96.16,96.16,61000
AFN.DB.I.TO,20230217,132.2,132.2,132.1,132.1,140000
AGF.B.TO,20230217,9.26,9.34,9.26,9.32,102947
AGI.TO,20230217,13.81,13.98,13.62,13.95,526469
AI.TO,20230217,12.14,12.17,12,12.15,54979
AI.DB.C.TO,20230217,98.75,98.75,97.96,97.96,5000
AIF.TO,20230217,60.4,60.67,59.69,59.76,67908
AII.TO,20230217,0.78,0.79,0.77,0.78,23575
AIM.TO,20230217,3.97,4.07,3.89,4,149929
AIM.PR.C.TO,20230217,21.49,21.69,21.4,21.69,1400
AKT.A.TO,20230217,1.74,1.74,1.69,1.69,47803
ALA.TO,20230217,24.3,24.48,24.13,24.16,1166016
ALA.PR.A.TO,20230217,16,16,16,16,1000
ALA.PR.G.TO,20230217,18.76,18.95,18.76,18.95,12150
ALC.TO,20230217,16.08,16.08,15.92,15.95,12877
ALC.DB.A.TO,20230217,109.57,109.57,109,109,97000
ALS.TO,20230217,21.44,21.55,21.05,21.28,39732
ALYA.TO,20230217,2.29,2.32,2.29,2.3,45100
AMC.TO,20230217,4.69,4.8,4.45,4.8,108131
AMM.TO,20230217,0.29,0.3,0.29,0.3,113526
AND.TO,20230217,47.63,48.64,47.05,48.45,24935
AOI.TO,20230217,2.8,2.8,2.74,2.78,463837
AOT.TO,20230217,0.65,0.66,0.65,0.66,141569
AP.UN.TO,20230217,28.7,29.29,28.63,29.09,837745
APLI.TO,20230217,0.05,0.05,0.05,0.05,44000
APR.UN.TO,20230217,12.3,12.5,12.3,12.5,32460
APS.TO,20230217,0.9,0.93,0.9,0.92,5165
AQN.TO,20230217,10.54,10.64,10.4,10.55,2587349
AQN.PR.A.TO,20230217,20.26,20.27,20.26,20.27,700
AQN.PR.D.TO,20230217,20.06,20.06,20.05,20.05,600
AR.TO,20230217,0.58,0.58,0.54,0.55,3343664
ARA.TO,20230217,0.495,0.5,0.49,0.495,28004
ARB.TO,20230217,25.8,25.8,25.75,25.75,700
ARE.TO,20230217,10.61,10.8,10.6,10.8,224689
ARG.TO,20230217,1.43,1.45,1.4,1.45,128865
ARIS.TO,20230217,4.08,4.1,4.02,4.09,94015
ARIS.WT.A.TO,20230217,0.33,0.33,0.33,0.33,15500
ARKG.TO,20230217,13.85,14.03,13.85,14.03,1205
ARKK.TO,20230217,16.23,16.23,16.01,16.22,6894
ARKW.TO,20230217,17.48,17.48,17.48,17.48,2463
ARR.TO,20230217,9.06,9.06,8.8,8.83,14565
ARX.TO,20230217,15.33,15.33,14.71,14.73,2825096
ASCU.TO,20230217,1.95,1.95,1.86,1.88,14905
ASM.TO,20230217,0.98,1.02,0.98,0.98,17477
ASND.TO,20230217,0.265,0.265,0.26,0.26,5000
ASTL.TO,20230217,10.76,10.76,10.41,10.43,226959
ASTL.WT.TO,20230217,2.31,2.31,2.31,2.31,100
ATD.TO,20230217,64.64,65.95,64.58,65.59,1268461
ATH.TO,20230217,2.82,2.82,2.73,2.73,4659457
ATS.TO,20230217,55.95,55.97,54.13,55.49,128405
ATZ.TO,20230217,44.91,45.35,44.66,44.77,233002
AUGB.F.TO,20230217,36.75,36.81,36.75,36.81,3300
AUMN.TO,20230217,0.355,0.355,0.33,0.33,12403
AVCN.TO,20230217,0.42,0.42,0.41,0.415,7500
AVL.TO,20230217,0.15,0.15,0.145,0.145,50612
AVNT.TO,20230217,0.235,0.235,0.23,0.23,83100
AW.UN.TO,20230217,36.35,37.2,36.35,37.2,19533
AX.PR.E.TO,20230217,23.66,23.66,23.65,23.66,2300
AX.PR.I.TO,20230217,25,25,24.91,24.91,1600
AX.UN.TO,20230217,9.38,9.62,9.37,9.58,523377
AYA.TO,20230217,7.36,7.69,7.24,7.59,175673
BABY.TO,20230217,0.68,0.68,0.68,0.68,2500
BABY.WT.A.TO,20230217,0.08,0.08,0.06,0.06,16000
BAM.TO,20230217,47.34,47.88,47.02,47.28,1834311
BANK.TO,20230217,8.27,8.28,8.21,8.27,45026
BASE.TO,20230217,28.2,28.2,27.75,27.8,1430
BB.TO,20230217,5.68,5.75,5.53,5.62,1052528
BBD.A.TO,20230217,62.3,64.47,62.01,64.43,3371
BBD.B.TO,20230217,61.69,64.67,61.59,64.17,718817
BBD.PR.B.TO,20230217,18.99,19.05,18.99,19.05,4700
BBD.PR.C.TO,20230217,18.75,18.75,18.6,18.7,14922
BBU.UN.TO,20230217,25.93,26.02,25.66,25.7,26869
BBUC.TO,20230217,28.19,28.52,28.08,28.26,19516
BCE.TO,20230217,61.06,61.83,61.06,61.78,2600455
BCE.PR.A.TO,20230217,18.42,18.43,18.35,18.43,2300
BCE.PR.B.TO,20230217,18.96,18.96,18.96,18.96,1800
BCE.PR.C.TO,20230217,18.8,18.81,18.79,18.79,1400
BCE.PR.D.TO,20230217,19,19,19,19,100
BCE.PR.E.TO,20230217,18.98,18.98,18.92,18.92,1300
BCE.PR.F.TO,20230217,16.99,17.05,16.99,17.05,3800
BCE.PR.G.TO,20230217,16,16.13,16,16.13,600
BCE.PR.I.TO,20230217,16.1,16.1,16.1,16.1,700
BCE.PR.K.TO,20230217,15.12,15.15,15.05,15.05,2543
BCE.PR.M.TO,20230217,15.63,15.63,15.63,15.63,110
BCE.PR.Q.TO,20230217,21.28,21.3,21,21,1700
BCE.PR.R.TO,20230217,15.91,15.91,15.9,15.9,2218
BCE.PR.S.TO,20230217,18.9,18.9,18.9,18.9,600
BCE.PR.T.TO,20230217,18.61,18.72,18.61,18.61,2100
BCE.PR.Y.TO,20230217,19,19,19,19,2200
BCT.TO,20230217,10.18,10.18,9.9,9.9,5051
BDGI.TO,20230217,30.56,30.89,30.38,30.67,17036
BDI.TO,20230217,6.27,6.3,6.21,6.3,5048
BDT.TO,20230217,8.99,9.12,8.99,9.1,65519
BEI.UN.TO,20230217,58.43,59.64,58.43,59.39,259368
BEK.B.TO,20230217,13.2,13.2,13.2,13.2,6100
BEP.PR.G.TO,20230217,24.35,24.35,24.25,24.25,2700
BEP.PR.M.TO,20230217,23.14,23.26,22.8,22.81,1330
