<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAB.TO,20230210,0.06,0.06,0.055,0.055,28000
AAV.TO,20230210,8.16,8.23,7.98,8,1025015
ABX.TO,20230210,23.8,24.09,23.66,23.94,6888692
AC.TO,20230210,22.34,22.39,21.88,22.12,1860133
ACB.TO,20230210,1.25,1.26,1.21,1.21,1578211
ACD.TO,20230210,7.7,7.75,7.7,7.73,2900
ACO.X.TO,20230210,42.3,43.1,42.3,43.03,336078
ACO.Y.TO,20230210,42.5,44.47,42.5,44.43,3328
ACQ.TO,20230210,29.21,29.21,27.81,27.82,36754
AD.DB.TO,20230210,98.4,99.74,98.35,98.35,41000
AD.DB.A.TO,20230210,98.9,99,98.9,99,18000
AD.UN.TO,20230210,18.32,18.32,18,18.15,59721
ADCO.TO,20230210,0.25,0.25,0.25,0.25,20999
ADEN.TO,20230210,34.23,34.23,33.43,33.46,39319
ADN.TO,20230210,16.73,16.97,16.6,16.67,16963
ADW.A.TO,20230210,5.08,5.09,4.98,4.98,11648
ADW.B.TO,20230210,6.56,6.57,6.56,6.56,300
AEG.TO,20230210,0.57,0.58,0.57,0.58,8000
AEM.TO,20230210,69.42,69.42,67.93,68.36,2188211
AEZS.TO,20230210,4.66,4.66,4.6,4.65,1450
AFN.TO,20230210,53.65,53.99,52.76,53,73119
AFN.DB.F.TO,20230210,99.49,99.49,99.49,99.49,18000
AFN.DB.G.TO,20230210,98.51,100,98.51,98.65,28000
AFN.DB.H.TO,20230210,98.56,98.99,98.56,98.56,15000
AFN.DB.J.TO,20230210,101,102.18,101,102.18,388000
AGF.B.TO,20230210,9,9.11,8.88,8.97,182988
AGI.TO,20230210,14.32,14.36,14.09,14.23,423287
AI.TO,20230210,11.47,11.47,11.27,11.29,51810
AI.DB.C.TO,20230210,98.9,98.9,98.9,98.9,4000
AI.DB.E.TO,20230210,99,99,99,99,10000
AI.DB.F.TO,20230210,90.5,91,90.5,91,7000
AI.DB.G.TO,20230210,90.95,91.73,90.95,91.73,34000
AIF.TO,20230210,59.17,59.29,57.7,58.78,78794
AII.TO,20230210,0.76,0.76,0.73,0.73,35028
AIM.TO,20230210,3.71,3.71,3.49,3.49,324366
AIM.PR.A.TO,20230210,19.04,19.49,18.99,19.49,900
AIM.PR.C.TO,20230210,21.7,21.7,21.39,21.39,600
AKT.A.TO,20230210,1.88,1.88,1.8,1.8,13605
ALA.TO,20230210,24.75,25.25,24.58,25.15,983702
ALA.PR.A.TO,20230210,15.93,15.93,15.93,15.93,100
ALA.PR.B.TO,20230210,19.14,19.14,18.95,18.95,1200
ALA.PR.G.TO,20230210,18.99,19,18.76,18.76,3456
ALA.PR.H.TO,20230210,20.35,20.35,20.35,20.35,100
ALC.TO,20230210,16.4,16.4,16.16,16.23,10743
ALS.TO,20230210,21.44,21.83,21.04,21.38,93789
ALYA.TO,20230210,2.39,2.43,2.32,2.33,121615
AMC.TO,20230210,4.87,4.87,4.57,4.85,406819
AND.TO,20230210,45.94,45.94,45,45,13472
AOI.TO,20230210,2.84,2.91,2.83,2.89,682854
AOT.TO,20230210,0.62,0.65,0.61,0.64,168358
AP.UN.TO,20230210,28.52,28.72,28.08,28.47,210384
APLI.TO,20230210,0.05,0.05,0.05,0.05,50549
APR.UN.TO,20230210,12.29,12.45,12.25,12.25,34294
APS.TO,20230210,0.96,0.96,0.89,0.9,30232
AQN.TO,20230210,9.7,9.95,9.69,9.92,3186617
AQN.PR.A.TO,20230210,19.85,19.9,19.8,19.8,728
AQN.PR.D.TO,20230210,20.25,20.25,20.15,20.15,2319
AR.TO,20230210,0.61,0.61,0.58,0.61,1837230
ARA.TO,20230210,0.485,0.51,0.48,0.48,111058
ARB.TO,20230210,25.8,25.85,25.8,25.85,3179
ARE.TO,20230210,10.52,10.75,10.49,10.69,192681
ARG.TO,20230210,1.42,1.43,1.4,1.41,221418
ARIS.TO,20230210,4.41,4.41,4.18,4.26,292364
ARIS.WT.A.TO,20230210,0.33,0.33,0.33,0.33,96000
ARKG.TO,20230210,13.92,13.92,13.79,13.79,1001
ARKK.TO,20230210,15.27,15.58,14.8,15.12,19408
ARR.TO,20230210,9,9.07,8.98,9.05,16652
ARX.TO,20230210,15.62,15.85,15.5,15.7,3835094
ASCU.TO,20230210,1.95,1.95,1.85,1.89,135933
ASM.TO,20230210,1.01,1.01,0.98,0.99,22600
ASND.TO,20230210,0.26,0.27,0.26,0.27,111500
ASTL.TO,20230210,10.99,11.09,10.79,11,314397
ATD.TO,20230210,61.4,62.68,61.13,62.56,1726558
ATH.TO,20230210,2.93,3.02,2.92,2.98,7202160
ATS.TO,20230210,50.71,52.37,49.66,51.47,362507
ATZ.TO,20230210,44.23,44.24,42.25,42.64,774160
AUMN.TO,20230210,0.35,0.35,0.325,0.325,13638
AVCN.TO,20230210,0.415,0.415,0.415,0.415,2000
AVL.TO,20230210,0.15,0.15,0.145,0.145,65760
AVNT.TO,20230210,0.23,0.23,0.205,0.22,108072
AW.UN.TO,20230210,37.4,37.41,36.77,36.9,13425
AX.PR.E.TO,20230210,23.48,23.49,23.48,23.48,800
AX.PR.I.TO,20230210,24.76,24.9,24.75,24.9,9300
AX.UN.TO,20230210,9.34,9.5,9.25,9.3,213047
AXIS.TO,20230210,0.46,0.46,0.46,0.46,15000
AYA.TO,20230210,7.21,7.25,6.89,7.08,353944
BABY.TO,20230210,0.69,0.69,0.66,0.67,6600
BAM.TO,20230210,46.65,47.02,45.95,46.29,1340371
BANK.TO,20230210,8.25,8.25,8.15,8.18,22950
BASE.TO,20230210,27.75,27.77,27.75,27.77,2480
BASE.B.TO,20230210,27.67,27.67,27.67,27.67,300
BB.TO,20230210,5.64,5.64,5.43,5.49,1869853
