<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
UDIV.B.TO,20231006,11.49,11.56,11.49,11.56,12000
ULV.C.TO,20231006,28.97,28.97,28.97,28.97,1093
ULV.F.TO,20231006,42.15,42.49,42.15,42.43,507
UMAX.TO,20231006,14.32,14.37,14.14,14.35,46344
UNC.TO,20231006,101.17,101.17,101.17,101.17,100
UNI.TO,20231006,1.58,1.59,1.58,1.59,400
URB.TO,20231006,4.79,4.79,4.79,4.79,1263
URB.A.TO,20231006,4.35,4.43,4.34,4.43,4100
URC.TO,20231006,3.99,4.38,3.92,4.3,400489
URC.WT.TO,20231006,2.08,2.38,2.08,2.35,63050
URE.TO,20231006,1.99,2.08,1.98,2.05,69197
USA.TO,20231006,0.47,0.47,0.46,0.47,38922
USCC.TO,20231006,16.53,16.73,16.5,16.73,3815
USCL.TO,20231006,19.11,19.37,18.94,19.36,13329
UTIL.TO,20231006,18.53,18.62,18.53,18.62,3659
VAB.TO,20231006,21.17,21.3,21.17,21.3,37191
VALT.B.TO,20231006,24.91,25.28,24.89,24.89,16930
VBAL.TO,20231006,27.18,27.43,27.11,27.41,49004
VBNK.TO,20231006,10.44,10.44,10.3,10.3,600
VCB.TO,20231006,21.99,22.05,21.99,22.03,8029
VCE.TO,20231006,41.53,41.8,41.15,41.75,25344
VCIP.TO,20231006,23.5,23.55,23.44,23.55,564
VCM.TO,20231006,17.02,17.02,17.02,17.02,100
VCN.TO,20231006,38.77,39.18,38.46,39.12,100001
VCNS.TO,20231006,25.14,25.3,25.12,25.28,5425
VDU.TO,20231006,36.79,37.15,36.63,37.15,13521
VDY.TO,20231006,38.66,38.86,38.09,38.8,154432
VE.TO,20231006,30.49,30.49,30.39,30.39,4790
VEE.TO,20231006,31.78,32.13,31.78,32.11,24872
VEF.TO,20231006,48.01,48.33,47.7,48.33,6923
VEQT.TO,20231006,34.18,34.63,34.06,34.57,62859
VET.TO,20231006,17.99,18.38,17.66,18.29,800158
VFV.TO,20231006,102.9,104.7,102.7,104.4,174867
VGCX.TO,20231006,5.54,5.79,5.52,5.75,166826
VGG.TO,20231006,71.22,72.34,71.22,72.13,17302
VGH.TO,20231006,50.33,51.23,50.26,51.2,18724
VGRO.TO,20231006,29.27,29.61,29.2,29.58,93892
VGV.TO,20231006,20.71,20.82,20.71,20.8,3461
VGZ.TO,20231006,0.51,0.51,0.51,0.51,1200
VHI.TO,20231006,2.95,2.97,2.95,2.97,7200
VI.TO,20231006,33.63,33.97,33.5,33.94,12668
VIDY.TO,20231006,26.55,26.9,26.55,26.9,6918
VIU.TO,20231006,29.26,29.6,29.17,29.6,14152
VLB.TO,20231006,18.84,19.05,18.84,19.05,5026
VLE.TO,20231006,3.17,3.22,3.03,3.1,871404
VLN.TO,20231006,5.63,5.78,5.21,5.56,410200
VMO.TO,20231006,44.28,44.4,44.28,44.4,721
VNP.TO,20231006,3.23,3.34,3.23,3.29,33557
VOXR.TO,20231006,2.65,2.72,2.59,2.71,10400
VPH.TO,20231006,0.19,0.195,0.19,0.19,10599
VQS.TO,20231006,0.19,0.25,0.19,0.245,367159
VRE.TO,20231006,27.05,27.29,26.65,27.29,6747
VRIF.TO,20231006,22.32,22.4,22.28,22.39,3940
VRTS.TO,20231006,0.06,0.065,0.05,0.055,714498
VSB.TO,20231006,21.98,22.02,21.97,22,57935
VSC.TO,20231006,22.41,22.42,22.41,22.41,13910
VSP.TO,20231006,69.4,70.83,69.18,70.62,116829
VUN.TO,20231006,77.91,79.28,77.8,79.08,40633
VUS.TO,20231006,75.14,76.75,74.9,76.45,52489
VVL.TO,20231006,41.56,42.1,41.56,41.92,6751
VVO.TO,20231006,31.69,31.7,31.69,31.7,450
VXC.TO,20231006,47.66,48.45,47.66,48.37,12036
VXM.TO,20231006,28.44,28.44,28.44,28.44,300
VXM.B.TO,20231006,25.59,25.59,25.59,25.59,100
WCN.TO,20231006,184.79,186.91,183.49,185.83,169757
WCP.TO,20231006,10.86,10.91,10.63,10.83,1408037
WDO.TO,20231006,7.05,7.34,6.97,7.32,254580
WEED.TO,20231006,0.96,1.02,0.95,0.97,6618338
WEF.TO,20231006,0.8,0.83,0.79,0.83,265471
WELL.TO,20231006,4.07,4.2,4.05,4.15,539213
WELL.DB.TO,20231006,90.15,91,90.15,90.15,28000
WFC.TO,20231006,19.61,19.61,19.58,19.59,1300
WFG.TO,20231006,93.38,93.93,91.6,92.28,297577
WILD.TO,20231006,1.39,1.44,1.37,1.44,20650
WJX.TO,20231006,27.77,28.72,27.42,28.71,27892
WJX.DB.TO,20231006,98.99,98.99,98.26,98.26,8000
WLLW.TO,20231006,0.1,0.105,0.1,0.105,191000
WM.TO,20231006,0.12,0.135,0.115,0.13,629912
WN.TO,20231006,151.09,151.6,148.6,150.5,83301
WN.PR.A.TO,20231006,21,21.05,21,21.05,1400
WN.PR.C.TO,20231006,18.4,18.4,18.4,18.4,864
WN.PR.D.TO,20231006,18.42,18.48,18.37,18.47,2623
WN.PR.E.TO,20231006,16.84,16.92,16.83,16.92,800
WNDR.TO,20231006,0.13,0.13,0.125,0.13,106525
WPK.TO,20231006,37.93,39.11,37.54,38.99,56751
WPM.TO,20231006,53.73,54.65,53.4,54.29,479306
WPRT.TO,20231006,7.73,7.8,7.67,7.78,5558
WRG.TO,20231006,3.61,3.61,3.4,3.4,469
WRN.TO,20231006,1.79,1.79,1.73,1.73,33300
WRX.TO,20231006,0.185,0.2,0.185,0.2,21500
WSP.TO,20231006,190.71,193.75,187.59,192.88,117094
WSRD.TO,20231006,25.03,25.35,25.03,25.34,1005
WSRI.TO,20231006,33.93,33.93,33.93,33.93,112
WTE.TO,20231006,24.79,24.83,24.24,24.6,83400
WXM.TO,20231006,23.03,23.11,23.03,23.09,2100
X.TO,20231006,29.64,29.92,29.48,29.84,254572
XAGH.TO,20231006,31.84,31.84,31.84,31.84,100
XAM.TO,20231006,0.06,0.06,0.06,0.06,13469
XAU.TO,20231006,7.91,8.05,7.91,7.99,4050
XAW.TO,20231006,33.35,33.85,33.34,33.85,12011
XBAL.TO,20231006,24.64,24.9,24.64,24.88,21507
XBB.TO,20231006,25.97,26.1,25.95,26.09,117004
XBM.TO,20231006,17.99,18.43,17.99,18.43,5238
XCB.TO,20231006,18.31,18.37,18.28,18.31,47919
XCBG.TO,20231006,34.59,34.6,34.59,34.6,3704
XCD.TO,20231006,46.63,46.69,46.63,46.69,702
XCG.TO,20231006,41.86,42.2,41.62,42.17,3115
XCH.TO,20231006,16.87,17.12,16.87,17.08,19150
XCHP.TO,20231006,37.93,37.93,37.93,37.93,100
XCLN.TO,20231006,31,31.67,30.88,31.67,1681
XCNS.TO,20231006,19.91,20.09,19.91,20.09,2353
XCS.TO,20231006,16.68,16.94,16.68,16.92,5217
XCSR.TO,20231006,54.86,55.46,54.52,55.45,4363
XCV.TO,20231006,30.32,30.6,30.31,30.57,1403
XDG.TO,20231006,22.5,22.74,22.44,22.68,17373
XDGH.TO,20231006,22.84,22.84,22.84,22.84,507
XDIV.TO,20231006,23.71,23.93,23.5,23.91,35216
XDSR.TO,20231006,48.02,48.63,47.94,48.63,2829
XDU.TO,20231006,25.02,25.31,25,25.28,981
XDU.U.TO,20231006,18.57,18.57,18.57,18.57,200
XDUH.TO,20231006,23.05,23.05,23.05,23.05,608
XDV.TO,20231006,25.21,25.44,24.95,25.4,24375
XEB.TO,20231006,14.26,14.36,14.21,14.36,5781
XEC.TO,20231006,24.6,24.93,24.6,24.92,32991
XEF.TO,20231006,32.03,32.4,31.97,32.37,23343
XEG.TO,20231006,16.24,16.47,16.01,16.37,964212
XEH.TO,20231006,28.4,28.71,28.4,28.69,1089
XEI.TO,20231006,22.83,23.02,22.56,23,52789
XEM.TO,20231006,28.26,28.62,28.26,28.62,1243
XEMC.TO,20231006,40.43,40.43,40.43,40.43,100
XEN.TO,20231006,29.09,29.33,29.09,29.32,448
XEQT.TO,20231006,25.4,25.74,25.31,25.7,73751
XESG.TO,20231006,23.21,23.44,23.03,23.44,7494
XEU.TO,20231006,25.84,25.91,25.84,25.91,1463
XFH.TO,20231006,27.3,27.64,27.28,27.61,5228
XFN.TO,20231006,42.1,42.56,41.68,42.48,169790
XFR.TO,20231006,20.17,20.17,20.15,20.15,3409
XGB.TO,20231006,17.86,17.96,17.86,17.96,29732
XGD.TO,20231006,15.61,16,15.61,15.93,497975
XGI.TO,20231006,41.48,42.15,41.48,42.15,1135
XGRO.TO,20231006,23.77,24.04,23.7,24.01,42677
XHB.TO,20231006,17.8,17.84,17.77,17.8,7289
XHC.TO,20231006,65.19,65.95,65.19,65.95,1901
XHD.TO,20231006,28.79,28.99,28.58,28.99,749
XHU.TO,20231006,27.01,27.02,27,27.02,1316
XHY.TO,20231006,15.4,15.45,15.35,15.41,9649
XIC.TO,20231006,30.36,30.65,30.05,30.6,375936
XIG.TO,20231006,18.55,18.7,18.55,18.68,4400
XIGS.TO,20231006,36.09,36.12,36.09,36.12,1100
XIN.TO,20231006,31.09,31.37,30.95,31.32,7319
XINC.TO,20231006,18.14,18.14,18.14,18.14,496
XIT.TO,20231006,43,43.98,43,43.98,5418
XIU.TO,20231006,29.02,29.32,28.76,29.25,2321123
XLB.TO,20231006,17.21,17.45,17.21,17.44,72614
XLVE.TO,20231006,8.14,8.23,8.14,8.22,700
XLY.TO,20231006,0.02,0.02,0.02,0.02,43014
XMA.TO,20231006,16.8,17.04,16.8,17,653
XMC.TO,20231006,25.49,25.82,25.49,25.74,12240
XMD.TO,20231006,29.14,29.59,29.14,29.59,4868
XMH.TO,20231006,22.15,22.33,22.15,22.33,2056
XMM.TO,20231006,25.73,26.12,25.73,26.11,3250
XMS.TO,20231006,30.56,30.58,30.56,30.58,3300
XMU.TO,20231006,66.34,66.75,66,66.56,10391
XMU.U.TO,20231006,48.48,48.95,48.48,48.95,300
XMV.TO,20231006,36.01,36.01,36.01,36.01,200
XMW.TO,20231006,45.79,45.93,45.79,45.93,890
XPF.TO,20231006,13.02,13.07,13.02,13.07,1702
XQB.TO,20231006,17.55,17.62,17.55,17.61,31869
XQLT.TO,20231006,29.76,29.86,29.7,29.82,5533
XQQ.TO,20231006,111.69,114.9,111.5,114.51,76329
XQQU.TO,20231006,47.86,48.7,47.86,48.7,200
XRB.TO,20231006,20.43,20.52,20.37,20.49,15112
XRE.TO,20231006,14.67,14.91,14.46,14.9,761965
XSAB.TO,20231006,16.7,16.73,16.7,16.73,1217
XSB.TO,20231006,25.3,25.33,25.29,25.31,44260
XSC.TO,20231006,17.19,17.19,17.19,17.19,200
XSE.TO,20231006,16.79,16.85,16.78,16.84,4201
XSEM.TO,20231006,17.78,18,17.78,17.99,8400
XSH.TO,20231006,17.7,17.71,17.69,17.69,13038
XSHG.TO,20231006,36.47,36.47,36.47,36.47,300
XSHU.TO,20231006,40,40,40,40,100
XSMC.TO,20231006,25.37,25.45,25.35,25.35,10173
XSMH.TO,20231006,22.87,23.32,22.87,23.27,3876
