<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAB.TO,20250306,0.0300,0.0300,0.0300,0.03,301069
AAUC.TO,20250306,4.670,4.850,4.590,4.83,517043
AAV.TO,20250306,9.310,9.500,8.870,8.97,1214531
ABX.TO,20250306,26.27,26.78,26.12,26.39,4118713
AC.TO,20250306,16.40,16.52,15.79,16.07,5380113
ACB.TO,20250306,7.000,7.160,6.930,6.96,343794
ACD.TO,20250306,3.890,3.900,3.750,3.75,4900
ACQ.TO,20250306,16.60,16.60,16.10,16.19,13909
ACX.TO,20250306,5.060,5.220,5.050,5.05,37550
ADCO.TO,20250306,0.2900,0.2900,0.2900,0.29,500
ADEN.TO,20250306,31.49,32.25,31.31,31.72,84695
ADN.TO,20250306,17.26,17.26,17.10,17.11,6229
AEG.TO,20250306,0.3500,0.3500,0.3500,0.35,500
AEM.TO,20250306,141.44,142.46,139.10,139.99,848986
AFN.TO,20250306,32.90,35.72,31.60,35.2,312285
AG.TO,20250306,35.40€,35.40€,35.40€,35.4€,0
AGI.TO,20250306,34.58,34.94,34.02,34.21,1010146
AI.TO,20250306,10.52,10.60,10.45,10.57,95229
AIDX.TO,20250306,1.470,1.500,1.430,1.45,250321
AIF.TO,20250306,53.39,54.41,52.90,53.87,144133
AII.TO,20250306,1.870,1.940,1.860,1.91,579066
AIM.TO,20250306,2.360,2.360,2.330,2.34,3300
AKTAF,20250306,1.010,1.070,1.000,1.07,9300
ALA.TO,20250306,36.35,36.53,35.81,36.05,1413396
ALC.TO,20250306,14.85,14.87,14.75,14.75,2019
ALS.TO,20250306,25.67,26.13,25.49,25.63,83077
ALYA.TO,20250306,1.930,1.930,1.800,1.8,14388
AMC.TO,20250306,1.450,1.470,1.410,1.43,114584
AMM.TO,20250306,0.1050,0.1050,0.0950,0.105,77040
AND.TO,20250306,38.96,40.19,38.73,39.94,40480
ANRG.TO,20250306,0.9700,1.030,0.9600,1.01,12998
AOI.TO,20250306,1.930,1.940,1.870,1.91,606061
AOT.TO,20250306,0.1050,0.1050,0.1000,0.105,342167
APLI.TO,20250306,0.0300,0.0300,0.0300,0.03,12001
APS.TO,20250306,4.340,4.400,4.330,4.33,5302
AQN.TO,20250306,6.890,6.925,6.750,6.83,3075179
ARA.TO,20250306,0.4900,0.5100,0.4900,0.51,15450
ARE.TO,20250306,20.39,20.44,18.15,18.69,1516629
ARG.TO,20250306,1.850,1.850,1.780,1.8,299877
ARIS.TO,20250306,5.660,5.910,5.660,5.78,496544
ARR.TO,20250306,0.8800,0.8900,0.8500,0.86,136403
ARX.TO,20250306,25.01,25.18,24.53,24.96,2793569
ASCU.TO,20250306,2.030,2.075,1.920,1.92,221461
ASM.TO,20250306,1.910,1.940,1.840,1.88,352929
ASND.TO,20250306,0.0500,0.0500,0.0500,0.05,77000
ASTL.TO,20250306,9.740,9.740,9.420,9.64,131209
ATCU.TO,20250306,0.4300,0.4500,0.4300,0.44,16155
ATD.TO,20250306,70.75,74.28,70.75,74.06,1872695
ATH.TO,20250306,4.500,4.690,4.350,4.58,3210853
ATRL.TO,20250306,66.75,67.59,63.46,64.29,840785
