AAPLu;01/07/24;212,13;217,51;211,92;216,75;59923040
ABNBu;01/07/24;152,20;152,20;149,14;151,63;2904962
ADBEu;01/07/24;551,37;561,21;549,73;560,01;3069942
ADIu;01/07/24;226,70;226,95;223,92;225,18;2307800
ADPu;01/07/24;239,30;241,41;235,08;235,67;2124780
ADSKu;01/07/24;248,53;249,00;242,2811;245,83;1171050
AEPu;01/07/24;88,22;88,84;87,0301;87,28;1427410
AMATu;01/07/24;236,86;238,36;233,08;237,41;4239557
AMDu;01/07/24;161,25;161,5068;153,64;157,69;50436692
AMGNu;01/07/24;313,34;319,00;310,23;311,01;1769413
AMZNu;01/07/24;193,49;198,2957;192,82;197,20;41150092
ANSSu;01/07/24;323,98;323,98;316,80;321,16;401568
ASMLu;01/07/24;1035,55;1037,69;1015,80;1033,49;790568
AVGOu;01/07/24;1608,20;1648,75;1593,50;1640,80;4751400
AZNu;01/07/24;77,71;78,72;77,63;77,94;2599426
BIIBu;01/07/24;231,41;236,81;230,65;231,77;862400
BKNGu;01/07/24;3977,35;3977,35;3869,76;3884,88;231212
BKRu;01/07/24;35,35;35,44;34,70;34,94;4597350
CCEPu;01/07/24;73,10;73,88;72,73;73,03;869464
CDNSu;01/07/24;307,75;311,98;304,12;310,92;1278527
CDWu;01/07/24;224,42;224,79;218,22;219,19;935526
CEGu;01/07/24;208,19;213,59;203,14;205,05;4168088
CHTRu;01/07/24;293,91;297,70;290,27;296,02;1056704
CMCSAu;01/07/24;38,90;39,08;38,14;38,17;16905672
COSTu;01/07/24;853,50;856,00;840,5001;845,67;1989000
CPRTu;01/07/24;54,20;54,38;53,18;53,35;3391843
CRWDu;01/07/24;385,28;392,74;377,9201;392,15;2879899
CSCOu;01/07/24;47,48;47,835;47,35;47,52;17776004
CSGPu;01/07/24;73,93;74,38;73,215;73,88;2070494
CSXu;01/07/24;33,48;33,815;33,305;33,59;11090064
CTASu;01/07/24;176,0675;177,3425;173,2031;173,525;1559964
CTSHu;01/07/24;67,85;68,19;67,24;67,74;2127083
DASHu;01/07/24;107,60;108,64;105,94;108,51;3760021
DDOGu;01/07/24;129,03;131,99;127,97;130,50;3934865
DLTRu;01/07/24;106,87;109,36;106,26;107,25;2730200
DXCMu;01/07/24;113,00;115,295;111,00;112,17;2583626
EAu;01/07/24;139,71;139,71;137,111;137,32;1221627
EXCu;01/07/24;34,76;34,86;34,255;34,55;6675809
FANGu;01/07/24;201,82;204,39;199,7775;203,71;1228400
FASTu;01/07/24;63,28;63,48;62,03;62,09;2354587
FTNTu;01/07/24;60,43;60,43;59,575;59,85;4884493
GFSu;01/07/24;50,84;51,00;49,41;50,26;1078921
GILDu;01/07/24;68,63;69,99;68,50;68,64;5246400
GOOGu;01/07/24;184,48;185,34;182,73;184,49;11813799
GOOGLu;01/07/24;183,03;183,88;181,30;182,99;16006128
HONu;01/07/24;213,14;215,53;210,87;210,95;2148470
