XELu;02/01/24;61,83;63,50;61,73;63,47;3967994
ZSu;02/01/24;218,10;218,17;210,615;212,37;2082000
TEAMu;02/01/24;235,01;235,18;225,30;226,67;1960000
AZNu;02/01/24;66,84;68,61;66,82;68,40;7503009
CEGu;02/01/24;116,40;117,23;114,97;115,25;1362814
CSGPu;02/01/24;86,87;86,87;84,24;85,46;1974867
CRWDu;02/01/24;251,47;252,29;243,03;246,89;3756800
DDOGu;02/01/24;119,22;119,22;114,28;115,08;4370000
GFSu;02/01/24;59,87;60,49;57,47;58,00;1400000
KDPu;02/01/24;33,38;33,64;33,24;33,37;7861000
PDDu;02/01/24;143,88;145,69;141,90;145,64;8200000
WBDu;02/01/24;11,32;12,00;11,27;11,66;26050000
CCEPu;02/01/24;66,58;66,74;66,229;66,49;1898442
AAPLu;03/01/24;184,22;185,88;183,43;184,25;56433880
ABNBu;03/01/24;132,71;134,54;130,82;133,42;4247279
ADBEu;03/01/24;574,58;577,30;570,19;571,79;2477000
ADIu;03/01/24;190,77;191,095;188,67;188,96;3126948
ADPu;03/01/24;233,63;234,22;231,67;232,51;1695242
ADSKu;03/01/24;231,71;231,71;227,04;227,19;1270000
AEPu;03/01/24;83,63;83,72;82,86;83,38;2915000
AMATu;03/01/24;151,71;153,17;150,73;151,45;6100066
AMDu;03/01/24;135,71;137,43;133,7413;135,32;61988584
AMGNu;03/01/24;300,05;303,25;297,045;300,69;2762596
AMZNu;03/01/24;149,20;151,05;148,33;148,47;49356600
ANSSu;03/01/24;350,19;350,75;343,18;343,29;699770
ASMLu;03/01/24;700,60;706,64;699,60;703,37;888930
AVGOu;03/01/24;1070,20;1075,00;1055,31;1058,58;3116636
BIIBu;03/01/24;268,27;268,30;263,39;263,43;814300
BKNGu;03/01/24;3462,52;3480,68;3405,03;3409,27;327400
BKRu;03/01/24;34,03;34,195;33,79;33,92;5734473
CDNSu;03/01/24;260,77;262,00;256,60;257,28;1320000
CDWu;03/01/24;220,10;220,4273;217,285;217,30;759532
CHTRu;03/01/24;391,66;392,82;384,92;386,67;767340
CMCSAu;03/01/24;43,68;43,875;43,215;43,31;15423239
COSTu;03/01/24;651,21;655,45;643,10;644,69;2141293
CPRTu;03/01/24;47,26;47,36;46,78;46,83;4320000
CSCOu;03/01/24;50,17;50,68;49,94;50,51;20302400
CSXu;03/01/24;34,64;34,92;34,52;34,66;10826984
CTASu;03/01/24;147,915;148,2975;144,89;145,07;1405696
CTSHu;03/01/24;73,98;74,28;73,47;73,67;3282389
DASHu;03/01/24;95,31;95,83;93,38;93,77;3721263
DLTRu;03/01/24;141,58;141,83;136,62;136,72;2380000
DXCMu;03/01/24;123,44;123,44;119,645;120,27;1707348
EAu;03/01/24;135,78;136,17;135,05;135,71;1440000
EXCu;03/01/24;36,53;36,67;35,90;36,18;6784000
FANGu;03/01/24;157,69;160,89;156,36;160,17;1390000
FASTu;03/01/24;63,45;63,53;62,06;62,08;3798297
FTNTu;03/01/24;57,28;58,22;56,95;57,85;5327874
GEHCu;03/01/24;76,24;76,68;75,435;76,11;2487414
GILDu;03/01/24;83,65;84,21;82,97;83,48;7220000
GOOGu;03/01/24;138,60;141,09;138,43;140,36;18963400
GOOGLu;03/01/24;137,25;139,63;137,08;138,92;24212148
HONu;03/01/24;208,42;208,42;204,37;204,53;3549157
IDXXu;03/01/24;546,73;546,73;529,24;535,06;415590
ILMNu;03/01/24;136,43;136,43;128,80;130,34;2122658
INTCu;03/01/24;47,10;47,81;46,80;47,05;35677080
INTUu;03/01/24;597,56;598,38;589,41;591,14;1440000
ISRGu;03/01/24;328,10;328,10;320,68;322,13;1596500
KHCu;03/01/24;38,24;38,36;38,00;38,08;8820000
KLACu;03/01/24;552,00;558,25;550,00;552,59;819100
LINu;03/01/24;405,90;409,86;405,29;408,71;1536216
LRCXu;03/01/24;73,20;74,30;72,966;73,693;9216560
LULUu;03/01/24;501,89;503,95;496,69;498,02;1010000
MARu;03/01/24;220,35;220,97;218,01;219,04;1300000
MCHPu;03/01/24;85,35;85,54;83,93;84,57;5271000
MDBu;03/01/24;373,76;379,76;371,25;372,98;1287200
MDLZu;03/01/24;74,36;74,43;73,20;73,28;5580000
MELIu;03/01/24;1515,01;1523,19;1497,90;1500,00;252881
METAu;03/01/24;344,98;347,9489;343,175;344,47;14280591
MNSTu;03/01/24;59,07;59,08;57,27;57,48;6340148
MRNAu;03/01/24;112,51;112,67;107,58;108,58;8100000
MRVLu;03/01/24;57,01;57,43;56,33;56,76;6440000
MSFTu;03/01/24;369,01;373,26;368,51;370,60;23058000
MUu;03/01/24;81,20;82,5883;80,585;82,26;12878622
NFLXu;03/01/24;467,32;475,05;465,7727;470,26;3402459
NVDAu;03/01/24;47,485;48,184;47,32;47,569;320272000
NXPIu;03/01/24;217,58;218,25;214,08;216,08;1870000
ODFLu;03/01/24;393,42;393,99;384,21;385,12;882000
ONu;03/01/24;79,38;79,78;77,56;79,31;6160000
ORLYu;03/01/24;952,10;958,54;941,38;943,71;413610
PANWu;03/01/24;284,68;289,12;282,82;286,47;2466900
PAYXu;03/01/24;118,46;118,69;116,77;116,84;1485548
PCARu;03/01/24;96,59;96,59;94,46;94,93;2605189
PEPu;03/01/24;175,00;175,20;172,6966;172,95;5588203
PYPLu;03/01/24;60,70;60,75;58,35;58,63;21180000
QCOMu;03/01/24;138,89;138,89;136,99;137,60;7828343
REGNu;03/01/24;906,80;923,60;901,00;917,56;758830
ROPu;03/01/24;534,49;537,435;530,80;531,00;488441
ROSTu;03/01/24;137,78;138,00;134,76;134,77;1617600
SBUXu;03/01/24;93,96;94,24;93,06;93,23;7130000
SIRIu;03/01/24;5,49;5,52;5,365;5,44;14440000
SNPSu;03/01/24;496,46;496,61;489,41;492,40;1180000
TMUSu;03/01/24;163,00;164,50;161,87;162,08;4608100
TSLAu;03/01/24;244,98;245,68;236,32;238,45;121082600
TTDu;03/01/24;69,50;70,0834;68,23;69,32;3673961
TTWOu;03/01/24;158,89;159,18;157,48;158,40;1061400
TXNu;03/01/24;167,99;168,50;166,21;166,74;5874900
VRSKu;03/01/24;238,16;239,20;236,54;236,70;679480
VRTXu;03/01/24;412,43;414,43;408,05;410,71;1010000
WBAu;03/01/24;26,38;26,405;25,47;25,57;21372680
WDAYu;03/01/24;267,20;270,38;266,53;268,41;1680000
XELu;03/01/24;63,74;63,93;63,12;63,58;3916994
ZSu;03/01/24;208,53;215,705;206,67;210,24;2095500
TEAMu;03/01/24;223,00;223,33;219,31;220,05;1290000
AZNu;03/01/24;67,73;68,695;67,48;68,32;5437115
CEGu;03/01/24;115,50;117,1662;115,50;115,85;1372365
CSGPu;03/01/24;85,25;85,25;82,72;82,77;1984639
CRWDu;03/01/24;240,32;248,831;238,61;244,36;3157600
DDOGu;03/01/24;113,76;114,23;111,27;112,42;3520000
GFSu;03/01/24;57,00;57,73;56,24;57,02;1250000
KDPu;03/01/24;33,05;33,06;32,40;32,59;9610100
PDDu;03/01/24;143,78;150,37;143,62;148,95;7210000
WBDu;03/01/24;11,48;11,56;11,18;11,30;20170000
