<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AEDAUD,20241112,0.4144,0.4164,0.4144,0.4158,0
AEDCAD,20241112,0.3797,0.3802,0.3793,0.3794,0
AEDCHF,20241112,0.2396,0.2404,0.2396,0.24,0
AEDDKK,20241112,1.9056,1.9139,1.9055,1.9127,0
AEDEUR,20241112,0.2555,0.2566,0.2555,0.2564,0
AEDGBP,20241112,0.2116,0.2126,0.2116,0.2126,0
AEDINR,20241112,22.978,22.981,22.971,22.972,0
AEDJPY,20241112,41.878,42.024,41.872,42.024,0
AEDNOK,20241112,3.0066,3.0164,3.005,3.0163,0
AEDNZD,20241112,0.4571,0.4582,0.4571,0.4579,0
AEDPKR,20241112,75.701,75.701,75.7,75.7,0
AEDSAR,20241112,1.0226,1.023,1.0225,1.023,0
AEDSEK,20241112,2.955,2.9682,2.9537,2.9682,0
AEDUSD,20241112,0.2723,0.2723,0.2723,0.2723,0
AEDZAR,20241112,4.8793,4.9508,4.878,4.9321,0
ALLGBP,20241112,0.0084,0.0084,0.0084,0.0084,0
ARSAUD,20241112,0.0015,0.0015,0.0015,0.0015,0
ARSBRL,20241112,0.0058,0.0058,0.0058,0.0058,0
ARSCAD,20241112,0.0014,0.0014,0.0014,0.0014,0
ARSCHF,20241112,0.0009,0.0009,0.0009,0.0009,0
ARSEUR,20241112,0.0009,0.0009,0.0009,0.0009,0
ARSGBP,20241112,0.0008,0.0008,0.0008,0.0008,0
ARSHKD,20241112,0.0078,0.0078,0.0078,0.0078,0
ARSJPY,20241112,0.154,0.155,0.154,0.155,0
ARSMXN,20241112,0.0204,0.0207,0.0204,0.0206,0
ARSSGD,20241112,0.0013,0.0013,0.0013,0.0013,0
ARSUSD,20241112,0.001,0.001,0.001,0.001,0
ARSZAR,20241112,0.0179,0.0182,0.0179,0.0182,0
AUDAED,20241112,2.42,2.42,2.4,2.4,0
AUDARS,20241112,656.4998,656.4998,650.859,651.3808,0
AUDBRL,20241112,3.7858,3.7878,3.7546,3.7546,0
AUDCAD,20241112,0.9153,0.9162,0.909,0.9105,0
AUDCHF,20241112,0.5787,0.5797,0.575,0.5758,0
AUDCNH,20241112,4.753,4.7582,4.7213,4.7284,0
AUDCNY,20241112,4.7413,4.7434,4.7144,4.7214,0
AUDCZK,20241112,15.621,15.674,15.598,15.608,0
AUDDKK,20241112,4.5997,4.6048,4.5826,4.586,0
AUDEUR,20241112,0.6166,0.6174,0.6143,0.6148,0
AUDFJD,20241112,1.4824,1.4824,1.4776,1.4778,0
AUDGBP,20241112,0.5107,0.5132,0.5099,0.5124,0
AUDHKD,20241112,5.1101,5.117,5.067,5.0776,0
AUDHUF,20241112,252.96,253.81,252.16,252.62,0
