AAPLu;30/04/24;173,202;174,99;170,00;170,33;65696404
AMGNu;30/04/24;276,11;276,12;272,35;273,94;2477339
AMZNu;30/04/24;181,09;182,99;174,80;175,00;94639784
AXPu;30/04/24;237,88;239,61;233,77;234,03;3564276
BAu;30/04/24;171,49;174,07;167,76;167,84;8246046
CATu;30/04/24;347,02;347,77;333,12;334,57;4201677
CRMu;30/04/24;274,51;274,61;268,355;268,94;5217985
CSCOu;30/04/24;47,61;47,69;46,97;46,98;18535440
CVXu;30/04/24;165,97;166,12;160,95;161,27;8457341
DISu;30/04/24;112,00;112,04;110,80;111,10;8154830
DOWu;30/04/24;57,27;57,95;56,88;56,90;5566023
GSu;30/04/24;428,50;431,39;426,00;426,71;1830134
HDu;30/04/24;335,72;337,44;332,8601;334,22;3089890
HONu;30/04/24;193,99;195,84;192,32;192,73;3128075
IBMu;30/04/24;166,49;166,76;165,26;166,20;6010000
INTCu;30/04/24;31,04;31,175;30,42;30,47;72323688
JNJu;30/04/24;146,88;146,88;144,53;144,59;8817719
JPMu;30/04/24;192,81;194,99;191,64;191,74;8153681
KOu;30/04/24;62,14;62,83;61,465;61,77;19349152
MCDu;30/04/24;264,33;276,8699;262,63;273,04;5505251
MMMu;30/04/24;95,73;97,8399;93,78;96,51;16669663
MRKu;30/04/24;130,92;130,92;128,98;129,22;6944968
MSFTu;30/04/24;401,49;402,16;389,17;389,33;28719700
NKEu;30/04/24;92,91;93,51;92,25;92,26;6493259
PGu;30/04/24;161,84;163,35;161,60;163,20;8106098
TRVu;30/04/24;212,75;213,82;211,74;212,16;1385757
UNHu;30/04/24;488,96;489,71;482,59;483,70;3367521
Vu;30/04/24;270,53;272,08;268,585;268,61;6376306
VZu;30/04/24;39,91;39,91;39,44;39,49;11838046
WMTu;30/04/24;60,20;60,30;59,16;59,35;14189693
AAPLu;01/05/24;169,80;172,69;169,11;169,30;49377084
AMGNu;01/05/24;274,18;279,84;273,3811;277,37;2323671
AMZNu;01/05/24;181,635;185,15;176,56;179,00;94645152
AXPu;01/05/24;233,22;235,14;231,23;231,46;4176158
BAu;01/05/24;167,50;173,86;167,50;171,46;6204653
CATu;01/05/24;333,38;338,495;330,74;331,07;3520821
CRMu;01/05/24;269,02;274,00;266,55;268,69;3761619
CSCOu;01/05/24;46,70;47,57;46,681;46,84;18266418
CVXu;01/05/24;160,78;161,45;158,90;159,63;7714962
DISu;01/05/24;111,29;111,99;110,21;110,48;6345229
DOWu;01/05/24;57,04;57,95;56,43;57,23;5102871
GSu;01/05/24;426,69;433,43;425,19;426,95;2313676
HDu;01/05/24;333,01;335,394;329,43;331,97;3267852
HONu;01/05/24;191,97;197,18;191,901;195,30;5084843
IBMu;01/05/24;165,69;166,27;164,30;164,43;4029900
INTCu;01/05/24;30,17;31,035;30,02;30,37;60637676
JNJu;01/05/24;148,735;151,85;147,62;151,18;14473711
JPMu;01/05/24;192,27;194,46;190,79;191,86;7446703
KOu;01/05/24;61,80;62,57;61,21;61,93;16730830
MCDu;01/05/24;271,38;276,43;270,05;274,43;4623579
MMMu;01/05/24;98,10;99,70;97,28;98,44;11042236
MRKu;01/05/24;128,61;129,93;127,80;128,80;5895807
MSFTu;01/05/24;392,61;401,72;390,31;394,94;23534700
NKEu;01/05/24;91,81;91,87;90,09;90,34;9784643
PGu;01/05/24;163,28;164,24;162,22;163,40;7543154
TRVu;01/05/24;212,16;215,24;212,16;213,15;1143902
UNHu;01/05/24;479,26;489,19;477,0664;484,11;2729234
Vu;01/05/24;268,15;270,91;266,71;267,32;6123452
VZu;01/05/24;39,33;39,655;39,13;39,20;17708878
WMTu;01/05/24;59,31;59,40;58,72;58,85;15457775
AAPLu;02/05/24;172,42;173,415;170,89;173,03;83478400
AMGNu;02/05/24;277,69;278,63;274,90;278,39;3172051
AMZNu;02/05/24;180,85;185,10;179,91;184,72;54303512
AXPu;02/05/24;233,58;233,95;230,911;232,50;2734874
BAu;02/05/24;173,00;178,90;172,2501;178,85;10221028
CATu;02/05/24;333,52;336,16;329,25;335,44;2492004
CRMu;02/05/24;270,43;273,08;267,94;272,13;3859883
CSCOu;02/05/24;47,03;47,12;46,60;46,79;15441652
CVXu;02/05/24;160,41;161,775;159,89;160,73;8597124
DISu;02/05/24;111,43;112,87;110,56;112,62;6798254
DOWu;02/05/24;57,57;57,76;56,3899;56,83;4453050
GSu;02/05/24;431,20;433,65;428,1689;432,57;2087512
HDu;02/05/24;335,50;336,00;330,975;335,53;3213554
HONu;02/05/24;196,38;196,48;192,685;193,64;3418699
IBMu;02/05/24;164,35;164,88;162,62;164,69;3822605
INTCu;02/05/24;30,59;30,67;30,19;30,51;50891908
JNJu;02/05/24;152,04;152,33;149,14;149,92;8459796
JPMu;02/05/24;193,07;193,50;189,52;191,66;6501657
KOu;02/05/24;62,18;62,3991;61,72;61,99;10991304
MCDu;02/05/24;274,51;276,31;272,71;273,28;3073833
MMMu;02/05/24;97,96;98,34;96,65;96,81;5565143
MRKu;02/05/24;129,06;129,69;127,985;128,26;7422542
MSFTu;02/05/24;397,66;399,93;394,6515;397,84;17384168
NKEu;02/05/24;91,33;92,45;90,91;92,41;7333343
PGu;02/05/24;163,54;164,49;162,6401;163,84;5647490
TRVu;02/05/24;213,87;215,07;212,42;214,37;1001436
