AAPLu;05/01/24;181,99;182,76;180,17;181,18;61666312
AMGNu;05/01/24;302,20;303,465;299,76;303,00;1762115
AMZNu;05/01/24;144,69;146,59;144,53;145,24;45124800
AXPu;05/01/24;186,82;189,51;186,52;189,06;2243000
BAu;05/01/24;245,04;250,18;245,04;249,00;3843122
CATu;05/01/24;286,25;291,00;285,47;288,93;2684800
CRMu;05/01/24;251,21;253,91;250,17;251,12;3675600
CSCOu;05/01/24;50,18;50,365;49,865;50,09;13989287
CVXu;05/01/24;151,98;152,03;149,83;150,40;7455100
DISu;05/01/24;90,41;91,32;90,355;90,90;8535865
DOWu;05/01/24;54,03;55,03;53,98;54,82;3796400
GSu;05/01/24;381,92;389,47;381,08;386,44;2913900
HDu;05/01/24;337,87;343,83;337,82;342,94;2664000
HONu;05/01/24;204,39;204,57;202,26;203,53;2682600
IBMu;05/01/24;159,91;160,55;158,67;159,16;4199400
INTCu;05/01/24;47,03;47,83;46,635;46,89;34108600
JNJu;05/01/24;160,50;161,34;159,47;161,13;5602500
JPMu;05/01/24;171,47;173,38;171,47;172,27;10064200
KOu;05/01/24;59,80;59,95;59,09;59,67;10411400
MCDu;05/01/24;289,21;290,33;287,20;288,99;3406900
MMMu;05/01/24;107,98;109,49;107,55;108,59;1665200
MRKu;05/01/24;117,10;117,45;116,64;117,22;6860100
MSFTu;05/01/24;368,97;372,06;366,50;367,75;20987000
NKEu;05/01/24;102,46;103,68;101,90;102,08;8039900
PGu;05/01/24;148,72;148,87;146,55;147,42;5294200
TRVu;05/01/24;191,69;194,11;191,69;193,07;1580700
UNHu;05/01/24;547,00;547,00;533,73;537,38;2815400
Vu;05/01/24;260,78;261,4599;258,75;259,69;2824321
VZu;05/01/24;39,47;40,37;39,30;40,20;30212900
WMTu;05/01/24;52,64;52,70;51,8667;52,2367;21706800
AAPLu;08/01/24;181,99;185,59;181,50;185,56;58101744
AMGNu;08/01/24;301,47;311,05;300,37;310,88;3450494
AMZNu;08/01/24;146,74;149,40;146,15;149,10;46711600
AXPu;08/01/24;188,22;189,33;186,38;189,21;3442100
BAu;08/01/24;228,00;233,85;225,79;229,00;39289020
CATu;08/01/24;287,56;292,68;285,24;292,25;2368300
