BLDS.V	Badlands Resources Inc
BLM.V	Blumetric Environmental Inc
BLOK.H.V	Globalblock Digital Asset Trading Ltd
BLUE.V	Mines D'Or Orbec Inc
BM.V	Bc Moly Ltd
BMET.V	Bemetals Corp
BMK.V	Macdonald Mines Expl Ltd
BMM.V	Black Mammoth Metals Corp
BMR.V	Battery Mineral Resources Corp
BMV.V	Bathurst Metals Corp
BNKR.V	Bunker Hill Mining Corp
BNXA.V	Banxa Holdings Inc.
BNZ.V	Bonanza Mining Corp
BOCA.V	Bocana Resources Corp
BOGO.V	Borealis Mining Company Limited
BOL.V	Bold Ventures Inc
BONE.V	Boron One Holdings Inc
BP.H.V	Backstageplay Inc.
BQE.V	Bqe Water Inc
BRAU.V	Big Ridge Gold Corp
BRC.V	Blackrock Silver Corp
BRED.V	Purebred Brands Inc
BRL.H.V	Bearclaw Capital Corp
BRM.V	Biorem Inc
BRN.PR.A.V	Brookfield Investments Corp Pref A
BRO.V	Barksdale Resources Corp
BRON.V	Bronco Resources Corp
BRTA.H.V	Beretta Ventures Ltd
BRVO.V	Bravo Mining Corp
BRW.V	Brunswick Exploration Inc
BSK.V	Blue Sky Uranium Corp
BSR.V	Bluestone Resources Inc
BST.V	Bessor Minerals Inc.
BTCW.V	Bitcoin Well Inc
BTR.V	Bonterra Resources Inc
BTT.V	Bitterroot Resources Ltd
BTU.V	Btu Metals Corp
BTV.V	Bluerush Inc
BUZ.P.V	Buzz Capital Inc
BUZH.P.V	Buzz Capital 2 Inc
BVA.V	Bravada Gold Corp
BWLK.V	Boardwalktech Software Corp
BWR.V	Bwr Exploration Inc
BYM.H.V	Baymount Incorporated
BYN.V	Banyan Gold Corp
BZ.V	Benz Mining Corp
CAC.P.V	Cinaport Acquisition Corp III
CAD.V	Colonial Coal International Corp
CAF.V	Canaf Investments Inc
CAG.V	Composite Alliance Group Inc
CAI.V	Capitan Investment Ltd
CAM.V	Cascadia Minerals Ltd
CANB.V	Canadabis Capital Inc
CAND.V	Candelaria Mining Corp
CANS.V	Wildpack Beverage Inc
CANX.V	Canex Metals Inc
CAPT.V	Captain Silver Corp
CART.H.V	Carcetti Capital Corp
CASA.V	Casa Minerals Inc
CAU.H.V	China Goldcorp Ltd
CBA.V	Champion Bear Res Ltd
CBG.V	Chibougamau Independent Mines Inc
CBI.V	Colibri Resource Corp
CBIT.V	Cathedra Bitcoin Inc
CBLT.V	Cblt Inc
CBLU.V	Clear Blue Technologies Intl Inc
CBR.V	Cabral Gold Inc
CBV.V	Cobra Venture Corp
CCB.V	Canada Carbon Inc
CCCM.V	C3 Metals Inc
CCD.V	Cascadero Copper Corp
CCE.V	Commerce Resources Corp
CCIC.P.V	Chicane Capital I Corp
CCMI.V	Canadian Critical Minerals Inc
CD.V	Cantex Mine Development Corp
CDA.V	Canuc Resources Corp
CDB.V	Cordoba Minerals Corp
CEBI.V	Ce Brands Inc
CEC.V	Canasia Energy Corp
CEI.V	Coelacanth Energy Inc.
CELL.V	Grid Battery Metals Inc
CEN.H.V	Claren Energy Corp
CEQ.V	Criterium Energy Ltd
CERT.V	Cerrado Gold Inc
CFA.H.V	Clear Gold Resources Inc
CFY.V	Cf Energy Corp
CGC.V	Canadian Gold Corp
CGD.V	Carlin Gold Corp
CH.V	Charbone Hydrogen Corporation
CHIP.H.V	Health Logic Interactive Inc
CIO.V	Central Iron Ore Ltd
CKG.V	Chesapeake Gold Corp
CLCO.V	Culico Metals Inc
CLIC.V	Comet Lithium Corp.
CLIP.V	Clip Money Inc
CLM.V	Consolidated Lithium Metals Inc
CLUS.V	Colossus Resources Corp
CLV.V	Canoe Mining Ventures Corp
CMB.V	Cmc Metals Ltd
CMC.V	Cielo Waste Solutions Corp
CMD.V	Commander Resources Ltd
CMI.V	C-COM Satellite Systems Inc
CMIL.V	Capella Minerals Ltd
CML.V	Canickel Mining Ltd
CMO.H.V	Cliffmont Resources Ltd.
CMU.V	Comet Industries Ltd
CN.V	Condor Resources Inc
CNC.V	Canada Nickel Company Inc
CNO.V	California Nanotechnologies Corp
CNRI.V	Canadian North Resources Inc
CNST.P.V	Constellation Capital Corp
CNVI.V	Conavi Medical Corp
CNX.V	Callinex Mines Inc
COCO.V	Coast Copper Corp.
COLL.P.V	Collingwood Resources Corp
CONE.V	Canada One Mining Corp
COO.V	Naturebank Asset Management Inc
COR.V	Camino Minerals Corp
COS.V	Coniagas Battery Metals Inc
COSA.V	Cosa Resources Corp.
COV.V	Covalon Technologies Ltd
CPAU.V	Copaur Minerals Inc
CPER.V	Coppercorp Resources Inc
CPL.V	Copper Lake Resources Ltd
CPS.V	Canadian Premium Sand Inc
CQR.V	Conquest Resources Ltd
CRB.V	Cariboo Rose Resources Ltd
CRBK.V	Carebook Technolgies Inc
CRD.V	Copper Road Resources Inc
CRE.V	Critical Elements Lithium Corp
CRI.V	Churchill Resources Inc
CSG.H.V	Cosigo Resources Ltd
CSL.H.V	Comstock Metals Ltd.
CSO.V	Corsa Coal Corp
CSOC.A.V	Canso Select Opportunities Corp Class A
CSOC.B.V	Canso Select Opportunities Corp Class B
CSPN.V	Carespan Health Inc
CSTR.V	Cryptostar Corp
CTEK.V	Cleantek Industries Inc
CTG.V	Centenario Gold Corp
CTH.V	Cotec Holdings Corp
CTM.V	Canterra Minerals Corp
CTN.V	Centurion Minerals Ltd
CTRL.V	Edge Total Intelligence Inc
