5NF.SI	Mencast Holdings Ltd.
5NV.SI	Chasen Holdings Limited
5O9W.SI	Xiaomi 5xlongub250228
5OC.SI	Koyo International Limited
5OI.SI	Japan Foods Holding Ltd.
5OQ.SI	Teho International Inc Ltd.
5OR.SI	Heatec Jietong Holdings Ltd.
5OX.SI	Mary Chia Holdings Limited
5PC.SI	Goodland Group Limited
5PD.SI	Hengyang Petrochem Log Limited
5PF.SI	Jason Marine Group Limited
5PO.SI	Hiap Tong Corporation Ltd.
5QR.SI	Mann Seng Metal Intl Limited
5QT.SI	Charisma Energy
5QY.SI	Net Pacific Fin Hldgs Ltd
5RA.SI	Asia-pacific Strategic Inv Ltd
5RC.SI	Es Group (holdings) Limited
5RE.SI	Smartflex Holdings Ltd
5RF.SI	Friven & Co. Ltd.
5SO.SI	Duty Free Internationallimited
5SR.SI	Zhongmin Baihui Retail Grp Ltd
5SY.SI	Chew's Group Limited
5TI.SI	Kitchen Culture Holdings Ltd.
5TJ.SI	Far East Group Limited
5TP.SI	Cnmc Goldmine Holdings Limited
5TT.SI	Keong Hong Holdings Limited
5UA.SI	Starland Holdings Limited
5UF.SI	Maxi-cash Fin Svcs Corp Ltd
5UL.SI	Atlantic Navigation Hldg(s)ltd
5UN.SI	Sincap Group Limited
5UX.SI	Oxley Holdings Limited
5VC.SI	Kori Holdings Limited
5VI.SI	Logistics Holdings Limited
5VJ.SI	Halcyon Agri Corporation Ltd
5VP.SI	Gds Global Limited
5VS.SI	Hafary Holdings Limited
5WA.SI	Intl Healthway Corp Limited
5WF.SI	Isoteam Ltd.
5WG.SI	Singapore Kitchen Equipmentltd
5WH.SI	Rex International Holding Ltd
5WJ.SI	Moneymax Financial Servicesltd
5WV.SI	Asiaphos Limited
5XFW.SI	Cnooc 5xlongsg250423
5ZJW.SI	Hsi 24400mbecw241230
600.SI	Hyflux Ltd
6AZB.SI	Astrea Vi3%b310318#
7QQS.SI	Nz07100s 270301
8A1.SI	Forise Int
8AZ.SI	Aztech Gbl
8E8W.SI	Hsi 7xshortub260630
8E9W.SI	Jd 5xlongsg250924
8K7.SI	Ughealthcare
8L9W.SI	Dyna-mac W241022
8R7W.SI	Tencen3xshortub250428us$
8U7U.SI	Ireit Global Eur
8W1W.SI	Xiaomi 5xshortsg250515
8W3W.SI	Meituan Mb Ecw250506
8Y2W.SI	Jd 5xlongub250127
8YLS.SI	Nz19100s 390701
8YY.SI	Biolidics Limited
92FW.SI	Clife 5xlongub250430
92NW.SI	Nasdaq 7xshortub250922
933W.SI	Sunny Mb Ecw241203
95DW.SI	Clife 5xshortsg250320
96DW.SI	Datapulse Tech W271128
96KW.SI	Meituan 5xshortsg260513
97XW.SI	Djia 5xshortub250922
9CI.SI	Capitalandinvest
9E9W.SI	Valuemax W260914
9G2.SI	Sam Holdings
9GBW.SI	Xiaomi 5xlongub250930
9H3W.SI	Alibaba Mb Epw241003
9I7.SI	Nosignboard
9I9W.SI	Pingan Mb Epw250603
9J2W.SI	Petroch 5xlongub250430
9NDW.SI	Tencent 5xshortub250127
9O5W.SI	Alibaba 5xlongsg250924
9PPW.SI	Petroch 5xshortub250430
9QEW.SI	Tencent 5xshortub250228
9QX.SI	Beverlyjcg
9R9W.SI	Hsi 15600mbepw241030
9T8W.SI	Sunny Mb Ecw241203 65
9U1W.SI	Meituan Mb Ecw250804
9UGW.SI	Uob Mb Ecw241227
9VHW.SI	Tencent 5xshortsg260513
9W2W.SI	Cosco 5xlongub251031
9WIW.SI	Sands Mb Ecw241003
9ZIW.SI	Nasdaq 7xlongub250922
9ZMR.SI	Gsh Corp R
9ZYW.SI	Hstech 7xshortsg260605
A04.SI	Asl Marine Holdings Ltd
A05.SI	Avjennings Limited
A17U.SI	Ascendas Real Estate Inv Trust
A26.SI	Sinarmas Land Limited
A30.SI	Aspial Corporation Limited
A31.SI	Addvalue Technologies Ltd
A33.SI	Blumont Group Ltd.
A34.SI	Amara Holdings Ltd
A35.SI	Abf Spore Bond Index Fund Etf
A50.SI	Rowsley Ltd.
A52.SI	Annaik Limited
A55.SI	Asia Enterprises Holding Ltd
A78.SI	Liongold Corp Ltd
A7RU.SI	Cityspring Infrastruct Trust
A95W.SI	Katrina W281008
AAJ.SI	Sunmoon Food Company Limited
ACV.SI	Frasers Hospitality Trust
ADN.SI	First Sponsor Group Limited
AFUS.SI	Nx15100z 250601
AGS.SI	The Hour Glass Limited
AIY.SI	Ifast Corporation Ltd.
AJ2.SI	Ouhua Energy Holdings Limited
AJBU.SI	Keppel Dc Reit
AOF.SI	Amplefield Limited
AP4.SI	Riverstone Holdings Limited
AU8U.SI	Capitaretail China Trust
AVX.SI	Hl Global Enterprises Limited
AW9U.SI	First Real Estate Inv Trust
AWC.SI	Lindeteves-jacoberg Ltd
AWG.SI	Aei Corporation Ltd
AWI.SI	Thakral Corporation Ltd
AWK.SI	Fuxing China Group Limited
AWM.SI	Shanghai Turbo Enterprises Ltd
AWV.SI	Captii Limited
AWX.SI	Aem Holdings Ltd
AWZ.SI	Multi-chem Limited
AXB.SI	Yongnam Holdings Limited
AYN.SI	Global Testing Corporation Ltd
AYV.SI	Acma Ltd.
AZA.SI	Ipc Corporation Limited
AZG.SI	8telecom Intl Holdings Co Ltd
AZR.SI	United Food Holdings Limited
AZT.SI	Lottvision Limited
