<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20250410,104.82,105.28,96.81,99.95,4 977 804
AA,20250410,24.56,24.71,22.48,23.75,11 076 580
AACT,20250410,11.15,11.17,11.15,11.15,1 901 713
AAM,20250410,10.25,10.28,10.25,10.26,139 675
AAP,20250410,32.67,32.67,30.79,32.17,2 899 558
AAT,20250410,18.07,18.24,17.30,17.95,632 593
AB,20250410,36.05,36.16,34.55,35.71,414 233
ABBV,20250410,177.75,178.00,164.96,174.20,13 969 950
ABCB,20250410,53.37,53.37,49.99,51.12,502 102
ABEV,20250410,2.290,2.290,2.220,2.260,29 167 191
ABG,20250410,222.99,226.22,216.62,223.72,242 563
ABM,20250410,44.51,44.89,42.42,44.37,1 792 938
ABR,20250410,10.94,11.00,10.18,10.44,5 092 640
ABT,20250410,126.00,126.82,122.02,124.50,11 089 353
AC,20250410,33.12,33.73,33.00,33.73,2 656
ACA,20250410,75.01,76.34,73.34,75.31,394 109
ACCO,20250410,3.770,3.820,3.575,3.630,682 868
ACEL,20250410,10.52,10.85,10.50,10.74,927 193
ACHR,20250410,7.120,7.260,6.740,7.020,22 908 761
ACI,20250410,21.24,21.68,20.97,21.36,5 051 831
ACM,20250410,92.81,94.87,91.00,93.17,1 237 267
ACN,20250410,292.47,296.10,278.34,285.22,4 578 592
ACP,20250410,5.560,5.560,5.350,5.360,1 111 418
ACR,20250410,19.05,19.28,17.50,17.65,28 325
ACRE,20250410,3.730,3.755,3.540,3.650,772 818
ACV,20250410,19.26,19.26,18.30,18.87,49 660
ADC,20250410,72.91,74.06,71.30,72.95,1 462 563
ADCT,20250410,1.140,1.155,1.085,1.120,220 147
ADM,20250410,44.38,44.78,43.18,44.48,5 105 744
ADNT,20250410,11.42,11.55,10.32,10.59,2 291 797
ADT,20250410,7.850,7.900,7.565,7.690,12 383 628
ADX,20250410,18.44,18.57,17.80,18.12,388 371
AEE,20250410,96.13,98.34,94.75,96.72,2 098 124
AEFC,20250410,20.55,20.65,20.21,20.21,49 351
AEG,20250410,5.920,5.920,5.675,5.820,18 536 103
AEM,20250410,107.39,113.62,106.52,111.55,7 419 332
AEO,20250410,10.95,10.99,10.32,10.68,9 135 219
AER,20250410,94.04,94.50,88.41,90.37,3 263 939
AES,20250410,10.60,10.73,10.05,10.30,17 437 740
AESI,20250410,13.83,14.16,13.17,13.44,3 271 396
AEVA,20250410,7.070,7.520,6.920,7.510,796 212
AFB,20250410,10.13,10.24,9.890,9.890,172 409
AFG,20250410,124.09,126.44,122.63,124.94,565 386
AFGB,20250410,21.70,21.80,21.12,21.28,19 348
AFGC,20250410,0,0,0,0,0
AFGD,20250410,21.08,21.15,20.27,20.62,11 928
AFGE,20250410,16.87,17.25,16.42,16.79,5 709
AFL,20250410,104.88,105.94,102.25,104.68,2 694 969
AG,20250410,0,0,0,3.040€,0
AGCO,20250410,84.09,84.92,80.02,83.91,1 467 908
AGD,20250410,9.080,9.250,8.880,9.000,342 775
AGI,20250410,26.92,28.47,26.78,27.97,5 584 869
AGL,20250410,5.290,5.605,5.070,5.500,7 709 901
