<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ACU,20250401,39.47,40.09,38.30,39.84,11 107
AE,20250401,20.00,20.40,19.98,20.40,33 122
AEF,20250401,4.970,4.995,4.940,4.960,155 219
AEON,20250401,0.5530,0.6100,0.5530,0.5936,1 911 643
AIM,20250401,0.1232,0.1347,0.1205,0.1250,228 266
AIRI,20250401,3.410,3.530,3.390,3.420,11 209
AMBI,20250401,5.060,5.200,4.750,4.970,7 220
AMBO,20250401,2.650,2.650,2.550,2.550,1 672
AMS,20250401,2.900,2.902,2.810,2.850,3 419
APT,20250401,4.920,5.025,4.850,4.850,28 982
AREN,20250401,1.670,1.876,1.640,1.790,185 040
ARMN,20250401,4.600,4.800,4.600,4.770,888 043
ARMP,20250401,1.420,1.440,1.380,1.440,4 533
ASM,20250401,1.820,1.840,1.730,1.750,3 300 230
ATCH,20250401,0.6500,0.7000,0.5900,0.6510,304 724
ATEK,20250401,6.010,6.010,6.010,6.010,7 500
ATNM,20250401,1.600,1.660,1.410,1.490,700 633
AUMN,20250401,0.1794,0.2198,0.1618,0.2060,13 795
AUST,20250401,1.290,1.342,1.230,1.260,131 670
AWX,20250401,2.810,3.020,2.480,2.750,70 771
AXIL,20250401,4.820,5.400,4.820,5.190,13 405
AZTR,20250401,0.2860,0.3084,0.2800,0.2900,178 950
BATL,20250401,1.300,1.370,1.280,1.340,74 572
BCV,20250401,17.20,17.34,17.19,17.23,16 018
BDL,20250401,24.71,24.71,24.71,24.71,368
BEEP,20250401,4.240,4.400,4.180,4.310,18 407
BGI,20250401,1.160,1.200,1.150,1.180,48 407
BHB,20250401,29.64,29.96,29.12,29.82,30 048
BHM,20250401,11.37,11.44,11.37,11.44,315
BKTI,20250401,40.78,40.78,37.30,39.46,42 264
BMTX,20250401,0,,,,
BQ,20250401,2.120,2.120,2.010,2.120,7 487
BRBS,20250401,3.240,3.313,3.200,3.200,231 836
BRN,20250401,1.630,1.670,1.610,1.610,4 511
BTG,20250401,2.890,2.950,2.825,2.900,47 870 456
BTTR,20250401,1.740,1.742,1.630,1.700,52 847
BURU,20250401,0.2000,0.2200,0.1712,0.1789,15 394 755
CANF,20250401,1.460,1.502,1.380,1.400,136 157
CATX,20250401,2.120,2.165,1.900,1.960,897 823
CBOE,20250401,0,,,50.43,
CCEL,20250401,6.500,6.650,6.355,6.440,4 553
CEF,20250401,28.41,28.41,28.08,28.22,509 610
CET,20250401,44.86,45.67,44.65,45.12,29 877
CEV,20250401,10.05,10.08,9.960,10.06,11 464
CHEB,20250401,10.26,10.29,10.26,10.28,112 177
CHRO,20250401,1.340,1.350,1.340,1.350,2 005
CIK,20250401,2.900,2.900,2.860,2.870,1 582 829
CIX,20250401,20.46,21.23,20.46,21.23,2 296
CKX,20250401,11.95,11.95,11.52,11.52,6 162
CLDI,20250401,0.5902,0.6264,0.5301,0.5571,576 114
CLM,20250401,7.430,7.500,7.358,7.440,1 025 205
CMCL,20250401,12.50,12.50,11.64,11.67,162 365
CMT,20250401,15.10,15.76,14.99,15.68,52 418
CNL,20250401,8.620,8.900,8.460,8.700,85 397
COE,20250401,20.40,20.90,20.02,20.02,2 569
COHN,20250401,8.485,8.485,8.010,8.200,6 317
CPHI,20250401,0.2611,0.2700,0.2368,0.2450,479 599
CRF,20250401,7.160,7.320,7.155,7.230,577 324
CTGO,20250401,10.28,10.68,9.940,9.950,101 353
CTM,20250401,1.050,1.080,0.9907,1.060,1 552 945
CVM,20250401,0.2336,0.2360,0.2059,0.2195,900 744
CVR,20250401,10.89,11.50,10.08,10.50,8 305
CVU,20250401,3.560,3.610,3.430,3.490,45 887
CYBN,20250401,9.100,9.100,8.250,8.380,17 696
DC,20250401,2.630,2.650,2.600,2.630,305 485
DDC,20250401,0.1600,0.1600,0.1296,0.1400,424 195
DHY,20250401,2.130,2.140,2.110,2.120,396 849
DIT,20250401,117.50,117.50,116.16,117.49,92
DMF,20250401,7.206,7.239,7.180,7.210,19 310
DMYY,20250401,11.10,11.25,11.10,11.18,39 715
DNN,20250401,1.310,1.350,1.270,1.300,79 506 982
DSS,20250401,0.8932,0.9000,0.8401,0.8702,10 407
EAD,20250401,6.900,6.910,6.850,6.880,216 117
ECF,20250401,9.010,9.100,9.010,9.070,85 446
EFSH,20250401,0.1000,0.1872,0.0903,0.1157,4 440 686
EIM,20250401,9.990,10.06,9.990,10.02,114 904
ELA,20250401,6.160,6.450,6.160,6.420,13 705
ELLO,20250401,14.71,15.29,14.71,15.00,2 212
ELMD,20250401,23.80,24.45,23.45,24.19,56 802
EMX,20250401,2.050,2.055,2.020,2.050,373 245
ENSV,20250401,0.0300,0.0380,0.0300,0.0370,74 592
ENX,20250401,9.510,9.655,9.510,9.600,27 546
EONR,20250401,0.4852,0.5322,0.4824,0.4989,579 831
EP,20250401,0,,,,
EPM,20250401,5.170,5.220,5.105,5.120,105 164
EQX,20250401,6.860,6.900,6.550,6.710,13 305 364
ERC,20250401,9.240,9.270,9.220,9.225,43 391
ERH,20250401,11.07,11.07,10.95,11.05,21 586
