<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ACU,20250326,39.49,39.86,39.07,39.62,10 649
AE,20250326,20.00,20.36,20.00,20.25,72 039
AEF,20250326,5.090,5.130,5.055,5.090,520 472
AEON,20250326,0.6510,0.6999,0.6100,0.6999,560 973
AIM,20250326,0.1350,0.1389,0.1271,0.1297,319 629
AIRI,20250326,3.820,3.910,3.720,3.720,19 622
AMBI,20250326,5.530,5.600,5.300,5.300,7 902
AMBO,20250326,3.080,3.200,2.800,2.810,15 624
AMS,20250326,2.888,2.888,2.750,2.775,4 961
APT,20250326,5.150,5.150,5.040,5.040,11 766
AREN,20250326,1.680,1.750,1.680,1.720,10 485
ARMN,20250326,4.670,4.690,4.580,4.610,524 975
ARMP,20250326,1.848,1.848,1.650,1.651,9 686
ASM,20250326,1.840,1.880,1.765,1.800,1 829 183
ATCH,20250326,0.9000,0.9500,0.8839,0.8885,182 561
ATEK,20250326,-,-,-,-,37
ATNM,20250326,1.920,2.410,1.800,1.870,14 580 463
AUMN,20250326,0.2723,0.2872,0.2292,0.2300,104 774
AUST,20250326,1.390,1.430,1.310,1.330,39 170
AWX,20250326,2.832,2.915,2.832,2.915,2 986
AXIL,20250326,6.830,7.200,6.800,7.000,10 867
AZTR,20250326,0.3369,0.3369,0.2600,0.3161,502 357
BATL,20250326,1.283,1.283,1.210,1.210,45 225
BCV,20250326,17.85,17.87,17.70,17.70,9 127
BDL,20250326,24.59,24.59,24.59,24.59,284
BEEP,20250326,4.060,4.400,4.060,4.280,36 072
BGI,20250326,1.210,1.210,1.130,1.190,19 290
BHB,20250326,30.49,30.65,30.07,30.45,27 429
BHM,20250326,12.10,12.18,11.98,11.98,1 557
BKTI,20250326,29.20,29.86,28.35,29.27,22 089
BMTX,20250326,0,,,,
BQ,20250326,2.350,2.350,2.350,2.350,311
BRBS,20250326,3.340,3.410,3.330,3.330,89 085
BRN,20250326,1.530,1.645,1.530,1.580,30 429
BTG,20250326,3.190,3.190,3.080,3.090,42 043 525
BTTR,20250326,1.950,1.965,1.750,1.900,229 365
BURU,20250326,0.2010,0.2100,0.1808,0.2000,2 421 536
CANF,20250326,1.530,1.585,1.510,1.520,79 032
CATX,20250326,2.490,2.490,2.235,2.270,738 754
CBOE,20250326,0,,,50.52,
CCEL,20250326,6.530,6.590,6.350,6.430,21 547
CEF,20250326,27.68,27.72,27.57,27.61,349 102
CET,20250326,46.24,46.24,45.42,45.42,13 205
CEV,20250326,10.11,10.11,10.03,10.03,13 522
CHEB,20250326,10.24,10.24,10.24,10.24,2 209
CHRO,20250326,1.470,1.635,1.440,1.453,3 622
CIK,20250326,2.930,2.935,2.890,2.910,893 710
CIX,20250326,21.65,21.91,21.51,21.72,2 348
CKX,20250326,11.65,12.15,11.60,11.76,9 588
CLDI,20250326,0.6900,0.7027,0.6587,0.6712,355 954
CLM,20250326,7.680,7.680,7.570,7.600,973 366
CMCL,20250326,11.35,11.43,11.19,11.41,39 472
CMT,20250326,14.82,15.15,14.79,14.88,55 363
CNL,20250326,9.450,10.11,8.470,8.660,218 303
COE,20250326,19.65,20.99,19.40,20.48,8 254
COHN,20250326,8.850,9.320,8.705,9.075,8 786
CPHI,20250326,0.2565,0.2772,0.2544,0.2638,260 287
CRF,20250326,7.450,7.470,7.345,7.390,489 768
CTGO,20250326,9.860,10.02,9.565,9.920,120 761
CTM,20250326,1.200,1.219,1.080,1.120,3 356 880
CVM,20250326,0.2450,0.2500,0.2315,0.2400,808 515
CVR,20250326,13.48,13.85,13.30,13.80,2 633
CVU,20250326,3.570,3.570,3.400,3.430,34 054
CYBN,20250326,10.30,10.30,9.930,10.00,8 310
DC,20250326,2.710,2.720,2.630,2.640,463 355
DDC,20250326,0.1567,0.1580,0.1311,0.1480,720 827
DHY,20250326,2.150,2.160,2.130,2.140,320 791
DIT,20250326,119.00,119.00,118.00,118.98,120
DMF,20250326,7.230,7.240,7.220,7.230,31 770
DMYY,20250326,11.19,11.26,11.18,11.24,47 716
DNN,20250326,1.480,1.480,1.420,1.430,63 057 350
DSS,20250326,1.060,1.090,0.9270,0.9500,24 086
EAD,20250326,6.960,6.960,6.880,6.890,163 712
ECF,20250326,9.390,9.410,9.250,9.300,69 137
EFSH,20250326,0.1503,0.1544,0.1394,0.1410,389 924
EIM,20250326,10.05,10.07,9.960,9.960,73 406
ELA,20250326,5.510,5.940,5.430,5.940,32 228
ELLO,20250326,15.50,15.91,15.50,15.91,1 277
ELMD,20250326,24.04,24.29,23.48,23.82,78 245
EMX,20250326,1.990,2.150,1.980,2.070,1 104 852
ENSV,20250326,0.0333,0.0365,0.0301,0.0309,3 321
ENX,20250326,9.760,9.780,9.690,9.710,24 671
EONR,20250326,0.5410,0.5463,0.4802,0.5000,431 449
EP,20250326,0,,,,
EPM,20250326,5.100,5.165,5.060,5.120,96 938
EQX,20250326,7.050,7.050,6.820,6.830,8 714 340
ERC,20250326,9.310,9.310,9.250,9.270,106 308
ERH,20250326,10.89,10.89,10.83,10.84,6 491
ESBA,20250326,8.100,8.100,8.100,8.100,1 618
ESP,20250326,26.85,27.28,26.85,26.89,9 494
EVBN,20250326,40.08,40.36,39.40,39.40,10 444
EVE,20250326,218.09,219.59,210.92,212.26,306 863
EVI,20250326,18.42,18.61,18.34,18.61,12 558
EVM,20250326,9.370,9.370,9.300,9.320,21 167
EVV,20250326,10.15,10.16,10.08,10.12,262 177
FAX,20250326,15.85,15.87,15.65,15.70,147 127
FCO,20250326,6.140,6.140,6.030,6.050,87 941
FISK,20250326,7.810,7.810,7.760,7.760,476
FLYX,20250326,3.280,3.280,3.005,3.005,7 678
FOXO,20250326,0.1533,0.1533,0.1430,0.1450,727 212
FRD,20250326,15.53,15.90,14.59,14.60,31 312
FSI,20250326,5.275,5.320,5.200,5.270,16 225
FSP,20250326,1.760,1.840,1.760,1.830,307 605
FTF,20250326,6.460,6.472,6.430,6.440,146 458
FURY,20250326,0.4042,0.4095,0.3950,0.3950,61 139
GAU,20250326,1.250,1.280,1.235,1.250,931 920
GBR,20250326,0.9388,0.9800,0.8217,0.8444,135 239
GENC,20250326,12.80,12.96,12.41,12.61,35 563
GGN,20250326,4.330,4.350,4.320,4.335,379 066
GLDG,20250326,0.8301,0.8379,0.8111,0.8198,349 343
GLO,20250326,76.49,76.73,74.33,74.35,1 034 524
GLQ,20250326,6.480,6.490,6.400,6.410,82 379
GLU,20250326,16.38,16.38,16.16,16.18,2 803
GLV,20250326,5.560,5.560,5.490,5.540,36 371
GNS,20250326,0.3086,0.3250,0.2927,0.3200,1 508 600
GORO,20250326,0.6049,0.6599,0.5345,0.5551,2 780 484
GPUS,20250326,2.505,2.800,2.400,2.500,106 282
GRAF,20250326,10.23,10.23,10.21,10.22,7 099
GRF,20250326,9.800,9.900,9.790,9.900,2 811
GRFX,20250326,1.360,1.370,0.9004,1.300,165 462
GROY,20250326,1.460,1.479,1.390,1.410,943 413
GSAT,20250326,23.13,23.41,22.65,23.05,439 181
GTE,20250326,4.960,5.260,4.960,5.060,261 341
HCWC,20250326,0.5529,0.5599,0.5132,0.5280,271 489
HNW,20250326,12.00,12.00,11.87,11.91,31 989
HUSA,20250326,0.9688,1.000,0.7750,0.8227,1 414 563
IAF,20250326,4.090,4.120,4.090,4.100,20 555
IAUX,20250326,0.6600,0.6600,0.6250,0.6298,2 269 032
IBIO,20250326,4.500,4.620,4.220,4.310,441 740
IDR,20250326,13.95,14.19,13.20,13.30,95 943
IE,20250326,6.860,6.970,6.630,6.890,953 484
IGC,20250326,0.2998,0.3247,0.2926,0.3100,629 759
IHT,20250326,2.300,2.320,2.260,2.320,1 348
IMO,20250326,73.82,74.04,72.98,73.16,330 073
INDO,20250326,2.750,2.900,2.750,2.810,122 197
INFU,20250326,6.100,6.190,5.954,6.040,114 236
INLX,20250326,11.61,12.40,11.61,12.21,4 777
INTT,20250326,7.640,7.660,7.410,7.500,31 065
INUV,20250326,0.4136,0.4199,0.3899,0.3987,361 801
IOR,20250326,16.84,16.84,16.84,16.84,505
ITP,20250326,0.2777,0.2809,0.2606,0.2701,64 427
ITRG,20250326,1.360,1.360,1.290,1.340,605 039
JOB,20250326,0.2212,0.2212,0.2065,0.2070,90 106
JWSM,20250326,10.02,10.02,10.02,10.02,480
KAPA,20250326,0.9760,1.080,0.9196,0.9600,148 425
KNW,20250326,0.9400,0.9600,0.8414,0.8900,300 617
KULR,20250326,1.680,1.690,1.550,1.560,9 044 139
LCTX,20250326,0.5201,0.5206,0.4952,0.5001,1 321 646
LEGT,20250326,10.44,10.44,10.44,10.44,4 044
LEU,20250326,74.23,74.36,69.18,69.99,474 458
LEXI,20250326,29.56,29.64,29.56,29.64,2 289
LGCY,20250326,6.920,7.050,6.870,7.050,10 730
LGL,20250326,6.490,6.490,6.320,6.320,2 151
LODE,20250326,2.570,2.578,2.350,2.400,242 610
LPA,20250326,9.420,9.429,9.406,9.429,2 205
LSF,20250326,6.800,6.800,6.460,6.600,54 976
MAG,20250326,16.57,16.60,15.98,16.02,723 180
MAIA,20250326,1.560,1.650,1.560,1.650,51 031
MGLD,20250326,0.9193,0.9500,0.8850,0.9500,5 403
MHH,20250326,9.905,10.31,9.720,9.720,20 528
MI,20250326,2.160,2.280,2.020,2.200,35 753
MITQ,20250326,0.5950,0.6100,0.5505,0.5505,33 703
MLSS,20250326,1.060,1.089,0.9931,1.010,65 583
MPTI,20250326,45.49,45.49,40.00,42.95,88 528
MPU,20250326,0.6774,0.7090,0.6022,0.6103,53 870
MRT,20250326,3.260,3.269,3.150,3.171,30 631
MSN,20250326,0.4400,0.4529,0.4400,0.4400,10 445
MTA,20250326,3.010,3.070,2.945,2.950,161 413
MTNB,20250326,0.5750,0.5900,0.5380,0.5708,11 016
MWG,20250326,0.3190,0.3280,0.2910,0.3115,8 015
MXC,20250326,7.900,8.410,7.900,8.010,2 389
MYND,20250326,0.8820,0.9499,0.8700,0.8700,20 359
