<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ACU,20250305,36.74,37.66,36.57,37.3,4902
AE,20250305,17.60,17.62,17.23,17.6,56330
AEF,20250305,5.090,5.170,5.080,5.16,423978
AEON,20250305,0.4700,0.4750,0.4120,0.475,1973169
AIM,20250305,0.1236,0.1399,0.1153,0.1315,1190121
AIRI,20250305,3.910,4.020,3.766,4,47535
AMBI,20250305,4.250,4.410,3.895,4.02,13063
AMBO,20250305,2.120,2.244,2.120,2.21,12051
AMS,20250305,2.810,2.830,2.760,2.76,37734
APT,20250305,5.180,5.430,5.180,5.21,22593
AREN,20250305,1.620,1.620,1.460,1.57,43108
ARMN,20250305,3.760,3.990,3.760,3.99,359373
ARMP,20250305,2.144,2.160,2.000,2.02,8286
ASM,20250305,1.270,1.350,1.260,1.35,1551531
ATCH,20250305,1.950,2.045,1.580,1.72,935198
ATEK,20250305,6.000,6.000,6.000,6,644
ATNM,20250305,1.100,1.160,1.080,1.15,201820
AUMN,20250305,0.0900,0.1171,0.0900,0.1,257979
AUST,20250305,1.300,1.460,1.300,1.44,220708
AWX,20250305,3.240,3.240,3.000,3,38272
AXIL,20250305,7.250,7.250,6.300,6.59,16108
AZTR,20250305,0.3269,0.3426,0.3208,0.342,310743
BATL,20250305,1.490,1.500,1.409,1.42,26329
BCV,20250305,17.94,18.08,17.94,17.98,5224
BDL,20250305,24.79,25.29,24.60,25.18,6437
BEEP,20250305,3.410,3.540,3.310,3.46,84776
BGI,20250305,0.9300,1.190,0.9300,1.16,240692
BHB,20250305,31.39,31.66,30.66,30.83,39136
BHM,20250305,11.34,11.54,11.27,11.45,2004
BKTI,20250305,28.65,29.89,28.65,28.85,11238
BMTX,20250305,0,,,,
BQ,20250305,2.850,2.980,2.830,2.87,6704
BRBS,20250305,3.500,3.530,3.450,3.46,314386
BRN,20250305,1.420,1.420,1.265,1.36,38576
BTG,20250305,2.670,2.795,2.650,2.79,47729049
BTTR,20250305,1.570,1.700,1.570,1.66,26882
BURU,20250305,0.2350,0.2450,0.2050,0.2118,17099545
CANF,20250305,1.630,1.672,1.570,1.62,43019
CATX,20250305,2.400,2.575,2.370,2.53,682258
CBOE,20250305,0,,,50.9678,
CCEL,20250305,6.750,7.310,6.310,7.12,22913
CEF,20250305,26.63,26.92,26.62,26.89,583697
CET,20250305,46.24,46.28,45.75,46.25,25124
CEV,20250305,10.43,10.43,10.31,10.33,13681
CHEB,20250305,10.21,10.21,10.21,10.21,5155
CHRO,20250305,2.210,2.360,2.160,2.16,17046
