<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ACU,20250403,39.80,39.99,38.82,39.15,9 523
AE,20250403,20.55,20.82,19.76,19.97,45 930
AEF,20250403,4.920,4.940,4.885,4.915,157 673
AEON,20250403,0.5391,0.5579,0.5188,0.5315,140 743
AIM,20250403,0.1242,0.1260,0.1100,0.1177,385 916
AIRI,20250403,3.330,3.515,3.330,3.400,15 731
AMBI,20250403,4.630,4.700,4.630,4.700,1 188
AMBO,20250403,2.560,2.560,2.435,2.480,4 145
AMS,20250403,2.750,2.960,2.750,2.960,9 231
APT,20250403,4.800,4.920,4.700,4.700,42 078
AREN,20250403,1.840,1.940,1.810,1.870,28 079
ARMN,20250403,4.680,5.075,4.680,4.970,1 173 080
ARMP,20250403,1.200,1.340,1.150,1.320,73 974
ASM,20250403,1.580,1.710,1.560,1.640,3 044 688
ATCH,20250403,0.5200,0.5523,0.4871,0.5420,628 578
ATEK,20250403,8.000,8.000,8.000,8.000,174
ATNM,20250403,1.430,1.505,1.360,1.390,298 601
AUMN,20250403,0.2059,0.2200,0.1989,0.2040,21 074
AUST,20250403,1.260,1.350,1.260,1.290,42 436
AWX,20250403,2.820,2.900,2.750,2.750,5 777
AXIL,20250403,5.200,5.200,4.920,5.050,6 643
AZTR,20250403,0.2900,0.3000,0.2802,0.2935,113 611
BATL,20250403,1.520,1.520,1.310,1.320,31 830
BCV,20250403,17.27,17.72,17.15,17.44,49 433
BDL,20250403,24.42,24.98,24.42,24.98,628
BEEP,20250403,4.310,4.380,4.160,4.340,10 338
BGI,20250403,1.250,1.310,1.152,1.170,144 869
BHB,20250403,28.76,28.76,27.66,27.66,66 388
BHM,20250403,11.49,11.63,11.38,11.47,5 165
BKTI,20250403,40.83,42.69,39.46,41.73,46 300
BMTX,20250403,0,,,,
BQ,20250403,2.100,2.119,2.010,2.107,2 592
BRBS,20250403,3.200,3.355,3.110,3.110,335 801
BRN,20250403,1.640,1.640,1.580,1.580,2 222
BTG,20250403,2.750,2.980,2.720,2.920,52 977 518
BTTR,20250403,1.710,1.739,1.570,1.685,46 353
BURU,20250403,0.1677,0.1748,0.1650,0.1703,2 026 412
CANF,20250403,1.490,1.530,1.455,1.510,56 587
CATX,20250403,2.010,2.040,1.910,1.960,1 182 906
CBOE,20250403,0,,,49.37,
CCEL,20250403,6.200,6.360,6.200,6.330,5 900
CEF,20250403,27.40,27.96,27.38,27.61,866 920
CET,20250403,44.46,44.49,43.57,43.57,56 554
CEV,20250403,10.08,10.19,10.08,10.18,56 504
CHEB,20250403,10.31,10.36,10.31,10.35,1 428 184
CHRO,20250403,1.340,1.410,1.340,1.404,1 436
