<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20241125,0.9999,1.02,0.9703,1.02,56400
AADI,20241125,2.31,2.345,2.17,2.22,375500
AADR,20241125,67.5501,67.5501,67.42,67.42,700
AAL,20241125,14.65,15.13,14.56,14.92,31526700
AAME,20241125,1.68,1.76,1.26,1.58,43200
AAOI,20241125,38.44,39.61,35.82,37.91,3574600
AAON,20241125,139.39,142.2,137.23,137.59,604600
AAPB,20241125,29.15,29.59,28.77,29.49,135600
AAPD,20241125,16.6,16.74,16.5,16.53,280000
AAPL,20241125,231.46,233.24,229.74,232.87,90091600
AAPU,20241125,36.87,37.43,36.33,37.29,490800
AAXJ,20241125,74.31,74.38,73.865,74.11,700400
ABAT,20241125,0.91,1.04,0.891,0.9452,1021600
ABCL,20241125,2.8,3.02,2.8,2.95,2518400
ABCS,20241125,30.755,30.86,30.7001,30.78,1600
ABEO,20241125,6.06,6.19,5.94,5.94,192400
ABL,20241125,7.61,7.85,7.55,7.67,676500
ABLLL,20241125,26.3,26.39,26.2,26.2407,1100
ABLLW,20241125,1.2,1.2118,1.06,1.15,31800
ABLV,20241125,0.835,0.88,0.835,0.88,5100
ABNB,20241125,138.01,141,137.75,140.93,7929200
ABOS,20241125,2.4,2.47,2.31,2.36,179800
ABP,20241125,2.97,3.0565,2.89,2.95,6500
ABSI,20241125,2.76,2.98,2.715,2.83,1707100
ABTS,20241125,0.649,0.68,0.62,0.663,96100
ABUS,20241125,3.52,3.58,3.41,3.42,2395600
ABVC,20241125,0.55,0.55,0.52,0.522,108500
ABVE,20241125,0.66,0.92,0.64,0.81,3568700
ABVEW,20241125,0.02,0.04,0.0163,0.02,227400
ABVX,20241125,9.03,9.06,8.37,8.5,289200
ACAD,20241125,16.62,17.09,16.52,16.54,1648100
ACB,20241125,4.38,4.69,4.37,4.57,879700
ACCD,20241125,3.74,3.925,3.73,3.8,1357400
ACDC,20241125,7.8,7.9,7.6,7.87,467700
ACET,20241125,0.9073,0.9411,0.8948,0.904,1633200
ACGL,20241125,99.91,100.62,98.8307,100.06,4050600
ACGLN,20241125,20.02,20.1557,19.8916,19.91,55600
ACGLO,20241125,23.01,23.2299,22.8664,22.8664,10500
ACHC,20241125,38.35,40.04,38.35,39.99,1457700
ACHL,20241125,1.07,1.08,1.03,1.07,97200
ACHV,20241125,4.32,4.54,4.31,4.51,125600
ACIC,20241125,13.55,13.91,13.45,13.57,167900
ACIU,20241125,3.43,3.48,3.38,3.41,121300
ACIW,20241125,59.16,59.71,58.22,58.31,1149200
ACLS,20241125,76.62,77.98,75.37,77.47,849800
ACLX,20241125,93.67,95.5,89.25,89.41,531400
ACMR,20241125,19.08,19.1499,18.4,18.44,980800
ACNB,20241125,48.46,49.25,48.37,48.37,20900
ACNT,20241125,10.5,10.98,10.455,10.65,35800
ACOG,20241125,5.75,5.8,5.6201,5.725,237100
ACON,20241125,0.182,0.182,0.1763,0.1765,90700
ACRS,20241125,4.11,4.23,3.86,3.99,1689400
ACRV,20241125,6.61,7.21,6.61,7.16,84300
ACT,20241125,34.91,35.73,34.91,35.37,250400
ACTG,20241125,4.56,4.66,4.545,4.58,155100
ACTU,20241125,8.88,9.72,8.88,9.15,63900
ACVA,20241125,22.4,23.46,22.39,22.96,3699400
ACWI,20241125,121.33,121.44,120.44,120.86,1392700
ACWX,20241125,54.11,54.2,53.82,53.96,1505500
ACXP,20241125,1.4,1.4,1.25,1.32,130400
ADAG,20241125,2.15,2.4734,2.15,2.27,23500
ADAP,20241125,0.68,0.71,0.66,0.7,1434800
ADBE,20241125,519.09,523.21,513.19,518.73,3319200
ADD,20241125,5.29,6.46,5.05,6.15,38700
ADEA,20241125,12.25,12.3554,12.13,12.25,710300
ADGM,20241125,2.5,2.98,2.4,2.6,134800
ADI,20241125,217.74,225,216,223.58,7302900
ADIL,20241125,0.999,1.02,0.999,1.01,110700
ADMA,20241125,21.43,21.88,20.98,21.47,3171200
ADN,20241125,7.4,7.48,5.51,6.49,120000
ADNWW,20241125,0.0106,0.012,0.0098,0.0112,167700
ADP,20241125,305.31,305.96,301.67,304.67,3078600
ADPT,20241125,4.81,5.79,4.76,5.58,4012300
ADSE,20241125,13.76,14,13.11,13.33,70900
ADSEW,20241125,3.24,3.3,3.21,3.21,1600
ADSK,20241125,324.53,326.62,318.69,319.39,2967100
ADTN,20241125,8.69,9.05,8.62,8.68,748000
ADTX,20241125,0.338,0.4227,0.3351,0.4,5448500
ADUR,20241125,5.66,5.84,5.45,5.45,95500
ADUS,20241125,124.93,125.92,121.77,122.95,141200
ADV,20241125,3.6,3.755,3.58,3.6,620200
ADVM,20241125,6.13,6.33,6.1,6.15,206200
ADXN,20241125,7.64,7.9899,7.42,7.95,66500
AEHL,20241125,0.26,0.2699,0.245,0.2606,312300
AEHR,20241125,12.45,12.93,12.4,12.67,769900
AEI,20241125,1.13,1.27,1.08,1.13,30400
AEIS,20241125,117.05,119.375,116.82,117.35,322200
AEMD,20241125,0.394,0.4147,0.3919,0.4032,131600
AENT,20241125,5.09,5.25,4.62,4.83,57200
AENTW,20241125,0.16,0.1799,0.1599,0.1701,17100
AEP,20241125,97.89,98.5,97.12,98.1,3384300
AERT,20241125,1.12,1.17,1.1,1.11,9300
AEYE,20241125,28.08,28.18,26.09,26.48,149100
AFBI,20241125,21.5,21.66,21.45,21.45,7500
AFCG,20241125,9.7,9.81,9.62,9.62,203900
AFJK,20241125,10.65,10.65,10.6,10.6,400
AFMD,20241125,2.68,3.0982,2.68,3,222700
AFRI,20241125,10.38,10.4594,10.16,10.16,8500
AFRM,20241125,68.19,70.2,67.01,69.35,8317300
AFYA,20241125,16.93,17.08,16.81,16.86,64800
AGAE,20241125,1,1.08,1,1.03,19200
AGEN,20241125,3.44,3.89,3.42,3.55,931500
AGFY,20241125,49.13,49.85,36.5,45.81,390700
AGIO,20241125,56.51,58.25,56.025,57.51,594900
AGIX,20241125,28.66,28.72,28.26,28.33,7700
AGMH,20241125,1.76,1.8499,1.74,1.81,14300
AGMI,20241125,27.71,27.71,27.4044,27.4044,800
AGNC,20241125,9.81,9.84,9.74,9.75,20232800
AGNCL,20241125,25.28,25.59,25.21,25.5899,12400
AGNCM,20241125,25.17,25.18,25.13,25.18,9500
AGNCN,20241125,25.79,25.9183,25.79,25.87,11800
AGNCO,20241125,25.31,25.3854,25.28,25.28,30700
AGNCP,20241125,24.69,24.81,24.53,24.55,29300
AGNG,20241125,31.3,31.4,31.28,31.35,2400
AGRI,20241125,0.0394,0.0409,0.039,0.0391,11403700
AGYS,20241125,138.52,139.99,136.5,137.8,331600
AGZD,20241125,22.41,22.4699,22.38,22.43,10900
AHCO,20241125,9.91,10.31,9.76,10.12,1088600
AHG,20241125,0.86,0.88,0.8454,0.8645,4600
AIA,20241125,69.5,69.58,69.01,69.24,17500
AIEV,20241125,0.2664,0.3166,0.26,0.2706,71600
AIFF,20241125,3.1,3.4994,3.0068,3.3,90000
AIFU,20241125,1.25,1.41,1.24,1.38,166200
AIHS,20241125,0.9,0.945,0.8581,0.937,13300
AILE,20241125,1.58,1.64,1.46,1.53,1005100
AILEW,20241125,0.1,0.12,0.09,0.12,86200
AIMAU,20241125,12.0315,12.0315,12.0315,12.0315,100
AIMD,20241125,0.44,0.48,0.44,0.45,24800
AIOT,20241125,7.16,7.38,6.93,7.36,2003100
AIP,20241125,8.48,8.75,8.4,8.5,154200
AIPI,20241125,52.55,52.55,51.79,52.1,173700
AIQ,20241125,39,39.1696,38.71,38.84,290100
AIRE,20241125,1.09,1.1342,0.9,0.97,197200
AIRG,20241125,9.19,9.3494,8.94,8.94,36700
AIRJ,20241125,7.73,8.75,7.73,8,99200
AIRJW,20241125,0.739,0.9001,0.72,0.8283,4100
